orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Dodge & Cox Balanced Fund,Unknown,Mutual Fund,73755,73755,0,T,,
"",T Rowe Price Capital Appreciation Fund,Unknown,Mutual Fund,48251,48251,0,T,,
"",First Eagle Global Fund,Unknown,Mutual Fund,45963,45963,0,T,,
"",Dodge & Cox International Stock Fund,Unknown,Mutual Fund,35661,35661,0,T,,
"",American Funds Growth Fund of America,Misc Finance,Mutual Fund,35428,35428,0,T,,
"",Dodge & Cox Stock Fund,Unknown,Mutual Fund,34686,34686,0,T,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,32383,32383,0,T,,
"",Calamos Growth Fund,Unknown,Mutual Fund,26685,26685,0,T,,
"",Hotchkis & Wiley Large Cap Value Fund,Unknown,Mutual Fund,20367,20367,0,T,,
"",iShares Dow Jones Select Dividend B/E,Unknown,Mutual Fund,16621,16621,0,T,,
"",Standard & Poors Depository Receipts,Unknown,Mutual Fund,11329,11329,0,T,,
"",Third Avenue Value Fund,Unknown,Mutual Fund,10907,10907,0,T,,
"",T Rowe Price Emerging Markets Stock Fund,Unknown,Mutual Fund,9890,9890,0,T,,
"",iShares S&P 500 Growth Index,Unknown,Mutual Fund,9738,9738,0,T,,
"",iShares S&P Mid Cap 400 Growth Index,Unknown,Mutual Fund,9565,9565,0,T,,
"",Artisan Mid Cap Value Fund,Unknown,Mutual Fund,8622,8622,0,T,,
"",Munders Small Cap Value Fund,Unknown,Mutual Fund,8508,8508,0,T,,
"",Third Avenue Small Cap Value Fund,Unknown,Mutual Fund,8078,8078,0,T,,
"",Federated Automated Cash Mgmt Trust,Unknown,Cash/Money Market/Savings/Checking,4556,4556,0,T,,
"",Tamarack Investment Funds Prime,Unknown,Mutual Fund,4051,4051,0,T,,
