orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000064776,Goldcorp Inc,Mining,,500001,1000000,0,Y,Y,
"",Carona Ltd,Crop Production,,500001,1000000,0,Y,,
D000027988,Newmont Mining,Mining,,250001,500000,0,Y,Y,
"",First National Bank of Lake Jackson,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",IAM Gold Corp,Mining,,100001,250000,0,Y,,
"",Condominium,Real Estate,,100001,250000,0,Y,,
D000045868,Barrick Gold Corp,Mining,,100001,250000,0,Y,Y,
D000066784,Anglogold Ashanti,Mining,,100001,250000,0,Y,,
"",58 Flag Lake Plaza/Lake Jackson TX,Real Estate,,100001,250000,0,Y,,
"",Texas Dow Employees Credit Union,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Silver Wheaton Corp,Mining,,50001,100000,0,Y,,
"",Pan American Silver,Mining,,50001,100000,0,Y,,
"",El Dorado Gold,Mining,,50001,100000,0,Y,,
"",Agnico Eagle Mines,Mining,,50001,100000,0,Y,,
"",Virginia Mines,Mining,,15001,50000,0,Y,,
"",Mag Silver Corp,Mining,,15001,50000,0,Y,,
D000066772,Kinross Gold,Mining,,15001,50000,0,Y,Y,Y
"",Wesdome Gold Mines,Mining,,1001,15000,0,Y,,
"",Viterra Inc,Unknown,,1001,15000,0,Y,,
"",Texas Gulf Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Silver Bull Resources,Unknown,,1001,15000,0,Y,,
"",Rydex Inverse S&P 500 Strategy Fund,Unknown,,1001,15000,0,Y,,
"",Rydex Inverse Nasdaq 1002X Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudent Bear Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mutual Securities Inc,Securities/Invest,,1001,15000,0,Y,,
"",Miranda Gold Corp,Unknown,,1001,15000,0,Y,,
"",Lexam Explorations,Unknown,,1001,15000,0,Y,,
D000026447,Hecla Mining,Mining,,1001,15000,0,Y,Y,
"",Great Basin Gold,Mining,,1001,15000,0,Y,,
"",Golden Star Resources,Mining,,1001,15000,0,Y,,
"",Dundee Bancorp,Commercial Banks,,1001,15000,0,Y,,
D000049463,Coeur D'Alene Mines,Mining,,1001,15000,0,Y,Y,
"",Claude Research,Mining,,1001,15000,0,Y,,
"",Brigus Gold Corp,Mining,,1001,15000,0,Y,,
"",Alumina Ltd,Mining,,1001,15000,0,Y,,
"",Allied Nevada Gold Corp,Mining,,1001,15000,0,Y,,
"",Vista Gold Corp,Mining,,1,1000,0,Y,,
"",Petrol Oil & Gas,Oil & Gas,,1,1000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
