orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",American Funds Growth Fund of America,Unknown,Mutual Fund,50001,100000,0,Y,,
"",TIAA Traditional Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Inland American Real Estate Trust,Real Estate,,15001,50000,0,Y,,
"",CREF Stock Fund,Securities/Invest,Mutual Fund,15001,50000,0,Y,,
"",American Washington Mutual Investors,Unknown,,15001,50000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital World Grwth/Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Balanced Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Prime Fund Capital Reserves Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",National Penn Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
