orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Lebanon House Inc,Lodging/Tourism,,1000001,5000000,0,Y,,
"",Fifth Third Life Model Mod Aggressive,Unknown,Mutual Fund,600003,1250000,0,Y,,
"",iShares Russell 1000 Index,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Fifth Third Short Term Bond Fund,Unknown,Mutual Fund,250003,600000,0,Y,,
"","Commercial Rental Property/Nitro, WV",Real Estate,,250001,500000,0,Y,,
"",Commercial Rental Property,Real Estate,,215004,500000,0,Y,,
"","Cincinnati, OH City School District Bond",Unknown,Government Bond,200002,500000,0,Y,,
"",US Treasury Inflation Indexed Note,Unknown,Government Bond,100001,251000,0,Y,,
"",Ohio Water Development Authority Bond,Unknown,Government Bond,100001,251000,0,Y,,
"",Wisconsin State G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Vanguard Energy Fund,Misc Energy,,100001,250000,0,Y,,
"",Ohio West Chester Twp,Unknown,,100001,250000,0,Y,,
"",Ohio State G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Ohio Mount Healthy OH City SD G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Ohio Mental Health Cap Facs Rev Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Ohio Kent City School Dist G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Ohio Dublin G/O NC,Unknown,Government Bond,100001,250000,0,Y,,
"",Oakmark International Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Note Receivable/Lebanon House Inc,Unknown,Note/Note Receivable,100001,250000,0,Y,,
"","Memphis, TN G/O Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Longleaf International Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell Mid Cap Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Harbor International Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Fairholme Funds,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Dreyfus International Stock Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Columbia Mid Cap Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Cleveland, OH Regional Transp Auth GO Bd",Unknown,Government Bond,100001,250000,0,Y,,
"",Central Ohio Solid Waste Auth G/O Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",DWS Large Cap Value Fund,Unknown,Mutual Fund,45003,150000,0,Y,,
"",Vanguard Inter Term Invest Grade Inv,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard High Dividend Yield ETF,Unknown,,50001,100000,0,Y,,
"",Spdr S&p Dividend Etf,Unknown,Mutual Fund,50001,100000,0,Y,,
"",RBB Boston Partners Long/Short Equity Fd,Unknown,,50001,100000,0,Y,,
"",Puerto Rico Electric Power Revenue Bonds,Unknown,Government Bond,50001,100000,0,Y,,
"",Prospector Opportunity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Pimco Commodity Real Return Strategy Fnd,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Ohio Dayton City SD G/O Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Mason Street Advisors Index 500 Stock,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Mason Street Advisors Balanced Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Longleaf Partners Small Cap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares S&P Global Telecom Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Hamilton County, OH Sales Tax Rev Bond",Unknown,Government Bond,50001,100000,0,Y,,
"",Fifth Third Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Eaton Vance Atlanta Capital,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Boston Co Small Cap Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Blackrock Treasury Trust Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",BlackRock Mid Cap Value Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Baron Small Cap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",AMEX Utilities Select Sector SPDR,Unknown,Mutual Fund,50001,100000,0,Y,,
"",JPMorgan Note NC,Unknown,,15001,50000,0,Y,,
"",iShares Barclays Intermed Govt Credit,Unknown,Government Bond,15001,50000,0,Y,,
"",Gateway Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Caldwell & Orkin Market Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",UBS Bank USA Deposit Account,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PNC Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Municipal Bonds,Unknown,Government Bond,1001,15000,0,Y,,
"",Presidio Fund,Unknown,Unknown,0,1000,0,Y,,
"",Ohio Plain Local School Dist G/O Bond,Unknown,Government Bond,0,1000,0,Y,,
"",Ohio Major New St Infrastructure Bond,Unknown,Government Bond,0,1000,0,Y,,
"",Ohio Bldg Auth Adult Correcti Facs Rev,Unknown,,0,1000,0,Y,,
"",Graustark LLC,Real Estate,,0,1000,0,Y,,
"",Assets below are Municipal Bonds: OH Mar,Unknown,Government Bond,0,1000,0,Y,,
"",Artisan International Fund,Unknown,Mutual Fund,0,1000,0,Y,,
