orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Lamar Saeligson Ranch/Surface & Mine Int,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1000001,5000000,0,Y,,
"","19 Warren Street/Barnstable, MA",Real Estate,,250001,500000,0,Y,,
"",Wright Patman Congressional FCU,Credit Unions,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000033907,Frost Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,Y
"",Galaxy Funds Prime Reserves Fund,Unknown,Cash/Money Market/Savings/Checking,37254,37254,0,Y,,
D000068479,Wellpoint Inc,Insurance,,8280,8280,0,Y,,
D000025815,First Data Corp,Finance/Credit,,8040,8040,0,Y,Y,
D000029185,Staples Inc,Retail Sales,,7484,7484,0,Y,Y,
D000019743,Wells Fargo,Commercial Banks,,7458,7458,0,Y,Y,Y
D000023856,Allergan Inc,Pharm/Health Prod,,7377,7377,0,Y,Y,
D000043203,Moody's Corp,Finance/Credit,,7209,7209,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,7132,7132,0,Y,Y,Y
D000000368,Exelon Corp,Electric Utilities,,6831,6831,0,Y,Y,
D000000785,Southwest Airlines,Air Transport,,6756,6756,0,Y,Y,
"",Liberty Media International,TV/Movies/Music,,6750,6750,0,Y,,
D000021766,Genworth Financial,Insurance,,6750,6750,0,Y,,
D000000596,Genentech Inc,Pharm/Health Prod,,6696,6696,0,Y,,
"",Paychex Inc,Business Services,,6684,6684,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,6666,6666,0,Y,Y,Y
D000000461,Comcast Corp,Telecom Svcs,,6656,6656,0,Y,Y,
D000000326,JC Penney,Retail Sales,,6624,6624,0,Y,Y,
D000029940,XM Satellite Radio,TV/Movies/Music,,6621,6621,0,Y,Y,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,6607,6607,0,Y,Y,Y
D000059184,Expeditors International of Washington,Misc Transport,,6594,6594,0,Y,,
D000021654,Gillette Co,Misc Mfg/Distrib,,6572,6572,0,Y,Y,
D000000081,United Parcel Service,Air Transport,,6546,6546,0,Y,Y,Y
D000058827,Zimmer Holdings,Pharm/Health Prod,,6329,6329,0,Y,,
D000000383,Abbott Laboratories,Pharm/Health Prod,,6298,6298,0,Y,Y,
D000000487,US Bancorp,Commercial Banks,,6264,6264,0,Y,Y,
D000000632,Allstate Corp,Insurance,,6206,6206,0,Y,Y,
"",Walgreen Co,Retail Sales,,6178,6178,0,Y,,
"",Methanex Corp,Unknown,,6154,6154,0,Y,,
D000000320,Chubb Corp,Insurance,,6152,6152,0,Y,Y,
D000022216,Regions Financial,Commercial Banks,,6050,6050,0,Y,Y,
D000042783,Toro Co,Misc Mfg/Distrib,,6020,6020,0,Y,,
D000028430,Praxair Inc,Chemicals,,6004,6004,0,Y,Y,
D000028035,Northern Trust,Commercial Banks,,5927,5927,0,Y,,
D000000272,Marriott International,Lodging/Tourism,,5920,5920,0,Y,Y,
D000000079,Verizon Communications,Telephone Utilities,,5874,5874,0,Y,Y,Y
D000000367,Wal-Mart Stores,Retail Sales,,5757,5757,0,Y,Y,
D000000430,Weyerhaeuser Co,Forest Products,,5714,5714,0,Y,Y,
"",Echostar Communications,Telecom Svcs,,5684,5684,0,Y,,
"",Galaxy Funds,Unknown,Cash/Money Market/Savings/Checking,5672,5672,0,Y,,
"",Delphi Corp,Automotive,,5592,5592,0,Y,,
D000031387,Alcoa Inc,Misc Mfg/Distrib,,5498,5498,0,Y,Y,
"",Genlyte Group,Unknown,,5484,5484,0,Y,,
"",ConAgra Foods,Food Process/Sales,,5479,5479,0,Y,,
D000029927,World Acceptance Corp,Finance/Credit,,5447,5447,0,Y,,
D000029143,Southwestern Energy,Oil & Gas,,5424,5424,0,Y,,
D000022285,Toll Brothers Inc,Home Builders,,5420,5420,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,5342,5342,0,Y,Y,Y
"",Energy Partners LTD,Oil & Gas,,5311,5311,0,Y,,
D000038259,Weight Watchers International,Misc Services,,5257,5257,0,Y,Y,
D000000303,ConocoPhillips,Oil & Gas,,5078,5078,0,Y,Y,Y
"",Fremont General,Unknown,,5036,5036,0,Y,,
D000042953,Dow Jones & Co,Publishing,,5028,5028,0,Y,,
D000021808,Affiliated Managers Group,Securities/Invest,,5013,5013,0,Y,,
D000000418,International Game Technology,Casinos/Gambling,,4985,4985,0,Y,Y,
"",MGM Mirage,Casinos/Gambling,,4874,4874,0,Y,,
