orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",AMCAP Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",5604 & 5606 Parkville Road,Real Estate,,100001,250000,0,Y,,
"",5596 & 5598 Parkville Rd (with father),Real Estate,,100001,250000,0,Y,,
"",2210 & 2212 Tupsfield Road,Real Estate,,100001,250000,0,Y,,
D000019642,Northwestern Mutual Life Insurance,Insurance,,100002,200000,0,Y,,
"",New Economy Fund American Funds,Unknown,Mutual Fund,16002,65000,0,Y,,
"",PERS Ohio-Retirement,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Growth Company Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Washington Mutual Coverdell Educ IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Vanguard Institutional Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ohio Tuition Trust 529,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Mason Street Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",FPA Capital,Unknown,,1001,15000,0,Y,,
"",Fifth Third Bank Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000033211,Dodge & Cox,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
