orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Custom Foods of America,Food Process/Sales,,2500004,11000000,0,Y,,
"",3600 Management LLC,Real Estate,,1000001,5000000,0,Y,,
"",Starboard Corp,Real Estate,,500001,1000000,0,Y,,
"",Alexander Investment Accounts Receivable,Securities/Invest,,500001,1000000,0,Y,,
"","First Tennessee(Knoxville, Tennessee)/Checking",Unknown,Cash/Money Market/Savings/Checking,265002,550000,0,Y,,
"",Large Cap US Equity Common Trust Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",International Equity Common Trust Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Dividend Appreciation Etf,Unknown,Mutual Fund,100001,250000,0,Y,,
"",RiverNorth Core Opportunity I,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Pimco All Asset Institutional Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Gateway Y,Unknown,Mutual Fund,100001,250000,0,Y,,
"",DTC Equity Common Trust Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Whitebox Tactical Opportunities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Small-Mid Cap US Equity Common Trust Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Oppenheimer SteelPath MLP Select 40 Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Nashville, TN Metro Government Bond",Unknown,Government Bond,50001,100000,0,Y,,
"",Nashville Davidson County Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Montgomery County Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Metro Govt Nashville & Davidson Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Memphis TN Sewer System Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Lazard Emerging Markets Core Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Hendersonville Tenn Util Distric Water & Sewer,Unknown,Government Bond,50001,100000,0,Y,,
"",Franklin County TN Health Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",FPA Crescent,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Columbia TN Waterworks Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Buhler-Telferner Partnership,Livestock,,50001,100000,0,Y,,
"",Bristol TN Electric Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",ASTON/River Road Small Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"","South Blount, TN Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Metro Gov Nashville & Davidson County TN Bond,Unknown,Government Bond,15001,50000,0,Y,,
"","Maryville, TN GO Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Little Star Partnership,Real Estate,,15001,50000,0,Y,,
"",Franklin TN Water & Sewer Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Tax Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","Clarksville, TN Electric Rate Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",FS Buhler Partnership/12.5 acres land assessed,Real Estate,,1001,15000,0,Y,,
"",Williamson County TN Bond,Unknown,Government Bond,0,1000,0,Y,,
"",Vanguard Emerging Markets ETF,Unknown,Mutual Fund,0,1000,0,Y,,
"",Pimco Income Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Loomis Sayles Sr Floating Rate & Fixed Income Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Legg Mason Global Opportunities Bond Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"","Dickson, TN G/O Bond",Unknown,Government Bond,0,1000,0,Y,,
