orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Green Bank Corp,Commercial Banks,,51002,115000,0,Y,,
"",AST Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Synergy Bank accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Marisco Large Cap Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Guaranteed Return Options Plus,Misc Finance,,15001,50000,0,Y,,
"",Guaranteed Options (GRO) Plus,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",American Funds Money Market Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",WisdomTree Intl Real Estate Sector Fund,Real Estate,,1001,15000,0,Y,,
"",WisdomTree DIEFA,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares Harvest Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares ETF Dynamic Market,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares Commodity Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO TotalReturn Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Neuberger Berman Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",MFS Global Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Cohen & Steers Realty Majors,Real Estate,,1001,15000,0,Y,,
"",Investors Town Center Partners,Unknown,,1001,15000,0,Y,,
"",Goldman Sachs High Yield Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Federated Agressive Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Barclays Bank Cap Intl Treasury Bond ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Barclays Aggregate Bond Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",Alliance Bernstein Group & Income,Unknown,Mutual Fund,1001,15000,0,Y,,
