orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Employees Retirement System of Texas,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",UBS Bank USA Deposit Account,Unknown,Cash/Money Market/Savings/Checking,17003,81000,0,Y,,
"",American Funds Small Cap World Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",American Funds New Economy Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Bank of America/Savings,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Funds Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Capital Income Builder Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds American Mutual Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds AmCap Funds,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Hartford Life Insurance,Insurance,,2002,30000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Europacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
