orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","132 Randolph Place NW/Washington, DC",Real Estate,,500001,1000000,0,O,,
"",Global Policy Solutions LLC,Unknown,,250001,500000,0,O,,
"","2221 St Paul St/Baltimore, MD",Real Estate,,250001,500000,0,O,,
"","2014 Madison Ave/Baltimore, MD",Real Estate,,250001,500000,0,O,,
"",Wright Patman Roth IRA - Congressional FCU,Unknown,"Brokerage, IRA, 401k",1001,15000,0,O,,
"",Victory Established Value Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",TRowe Price Retirement 2030 Fund,Unknown,"Brokerage, IRA, 401k",1001,15000,0,O,,
"",SSgAnS&P 500 Index Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",SSgA S&P Mid Cap Index,Unknown,Mutual Fund,1001,15000,0,O,,
"",Perkins Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Janus Overseas Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Invesco Stable Asset Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Black Rock Equity Dividend Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Pimco Total Return Fund,Unknown,Mutual Fund,1,1000,0,O,,
