orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Hamilton-Domenici Properties,Real Estate,,1000001,5000000,0,T,,
"",D&V Investments,Unknown,,250001,500000,0,T,,
"",PNC Bank/Checking/Savings/CD,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,T,,
"",Basement Apartment In Personal Residence,Real Estate,,100001,250000,0,T,,
"",US Senate Credit Union/Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,T,,
"",Legg Mason) Value Trust,Unknown,Mutual Fund,15001,50000,0,T,,
"",Blackrock Global Allocation RD IRA bough,Unknown,Mutual Fund,15001,50000,0,T,,
"",Blackrock Global Allocation Fund IRA,Unknown,Mutual Fund,15001,50000,0,T,,
"",Citibank South Dakota Bank Deposit IRA,Unknown,"Brokerage, IRA, 401k",2002,30000,0,T,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,1001,17000,0,T,,
"",Western Asset Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",US Senate FCU IRA/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",MFS Value,Unknown,Mutual Fund,1001,15000,0,T,,
"",Mausoleum Crypt,Unknown,,1001,15000,0,T,,
"",Legg Mason) Partners Intermed Term Munic,Unknown,Mutual Fund,1001,15000,0,T,,
"",Legg Mason Growth Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Mass Investment Trust IRA,Unknown,Mutual Fund,0,2000,0,T,,
"",Legg Mason Value Trust IRA,Unknown,Mutual Fund,0,2000,0,T,,
"",Legg Mason Opportunity Trust,Unknown,Mutual Fund,0,1000,0,T,,
"",Kent Investment Co Mineral Rights,Unknown,,0,1000,0,T,,
"",Columbia Con High Yield IRA Sold 12/08/0,Unknown,Mutual Fund,0,1000,0,T,,
