orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","929 Alta Oaks Drive/Henderson, NV",Real Estate,,250001,500000,0,Y,,
"",Riversource Retirement Advisor Advantage,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",Capital One Bank Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",IDS Retirement Advisor Variable Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",Riversource Diverse Equity Income Fund,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Ameriprise Insured Money Market,Unknown,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"",Wells Fargo Advantage Capital Growth Inv,Unknown,Mutual Fund,1001,15000,0,Y,,
"",US Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Threadneedle Global Equity,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Sonic Euro PEA,Unknown,Unknown,1001,15000,0,Y,,
"",IXIS Euractiv,Unknown,Unknown,1001,15000,0,Y,,
"",Goldman Sachs Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AIM Multi-Sector Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Express Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
