orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",BlackRock Large Cap Core Fund,Unknown,Mutual Fund,265004,650000,0,Y,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,60004,200000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",JPMorgan Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Columbia Marsico Focused Equities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Calamos Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital World Growth & Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wachovia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Wachovia Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
