orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000209,United Technologies,Defense Aerospace,,1000001,1000001,1,Y,Y,
"",Smith Barney Citigroup Money Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
D000000303,ConocoPhillips,Oil & Gas,,250001,500000,0,Y,Y,
"",West Des Moines State Bank,Unknown,Cash/Money Market/Savings/Checking,100002,200000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,50001,100000,0,Y,Y,
"",Citibank Bank Deposit Program,Unknown,"Brokerage, IRA, 401k",16002,65000,0,Y,,
"",T Rowe Price Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000058630,William Wrigley Jr Co,Food Process/Sales,,1001,15000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,Y,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,Y,Y,Y
D000000094,Time Warner,TV/Movies/Music,,1001,15000,0,Y,Y,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Smith Barney Money Fund Cash Portfolio,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,1001,15000,0,Y,Y,
D000000106,Morgan Stanley,Securities/Invest,,1001,15000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",IAC/Interactive Corp,Internet,,1001,15000,0,Y,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,Y,Y,
D000021654,Gillette Co,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000000596,Genentech Inc,Pharm/Health Prod,,1001,15000,0,Y,,
"",Fidelity Overseas Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dell Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
"",Citibank Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Cell Therapeutics Inc,Unknown,,1001,15000,0,Y,,
D000000091,BP,Oil & Gas,,1001,15000,0,Y,Y,
"",Biogen Idec,Pharm/Health Prod,,1001,15000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,1001,15000,0,Y,Y,Y
D000000391,Amgen Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000123,American International Group,Insurance,,1001,15000,0,Y,Y,
D000021800,3M Co,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
