orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",AMT Tax Free Money Fund,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,250001,500000,0,Y,Y,Y
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Value Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Undeveloped Land/Orange County, TX",Real Estate,,100001,250000,0,Y,,
"","Residential property/Nacogdoches, TX",Real Estate,,100001,250000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,100001,250000,0,Y,Y,
D000000275,Merck & Co,Pharm/Health Prod,,100001,250000,0,Y,Y,
"",Magellan Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",General Fund,Unknown,,100001,250000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
D000000284,Wyeth,Pharm/Health Prod,,50001,100000,0,Y,Y,
D000000367,Wal-Mart Stores,Retail Sales,,50001,100000,0,Y,Y,
"",Vanguard Wellington Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Tax Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","Undeveloped Land/Galveston County, TX",Real Estate,,50001,100000,0,Y,,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,Y
"",Spartan Municipal Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000042525,Royal Dutch Petroleum,Oil & Gas,,50001,100000,0,Y,Y,Y
D000000200,PepsiCo Inc,Food & Beverage,,50001,100000,0,Y,Y,Y
"",Oppenheimer Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000103,JPMorgan Chase Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,Y,Y
D000000281,Halliburton Co,Oil & Gas,,50001,100000,0,Y,Y,
D000000212,Coca-Cola Co,Food & Beverage,,50001,100000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,50001,100000,0,Y,Y,
"",Blue Chip (IRA),Unknown,Mutual Fund,50001,100000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,50001,100000,0,Y,Y,Y
"",Asset Manager,Securities/Invest,Mutual Fund,50001,100000,0,Y,,
"",American Century Equity Index,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000430,Weyerhaeuser Co,Forest Products,,15001,50000,0,Y,Y,
"",Westwood Balanced Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
