orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Sun Life of Canada Insurance Policy,Unknown,Insurance policies & Annuities,550002,1100000,0,Y,,
"","1065 Frenchtown Road/East Greenwich, RI",Real Estate,,250001,500000,0,A,,
"",Morgan Stanley Aggressive Equity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Eaton Vance National Municipals Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"","83 Elmdale Ave/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","65 Chesterfield/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","340 Shawmut Ave/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","25 Scott Avenue/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","170 Shannon Drive/Warwick, RI",Real Estate,,100001,250000,0,A,,
"","17 Scott Avenue/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","15 Jefferson Street/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","14901 Park Lane Drive/Ft Meyers, FL",Real Estate,,100001,250000,0,Y,,
"",Putnam Voyager Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Putnam Growth & Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Morgan Stanley Global Utilities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Washington Mutual,Unknown,,50001,100000,0,Y,,
"",Van Kampen Munciple Invest SBI,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Munivest Fund II,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MFS Municipal Income Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Managed Municipals Portfolio,Unknown,Government Bond,15001,50000,0,Y,,
"",Dreyfus Strategic Muni Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bonnet Shores Beach,Unknown,Unknown,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",US Savings Bonds,Unknown,Government Bond,1001,15000,0,Y,,
"",Muni Enhanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MS Charter MSFCM,Unknown,Unknown,1001,15000,0,Y,,
"",MS Charter Graham,Unknown,Unknown,1001,15000,0,Y,,
"",MS Charter Campbell,Unknown,Unknown,1001,15000,0,Y,,
"",International Value Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Citizens Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank RI/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
