orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Mehta Tech Inc,Unknown,,1000001,5000000,0,Y,,
"",CMA Money Fund,Unknown,Cash/Money Market/Savings/Checking,678010,1545000,0,Y,,
"",Foxley Cattle,Unknown,,500001,1000000,0,Y,,
"",Leach Family Farms,Crop Production,,250001,500000,0,Y,,
D000052990,Lee Enterprises,TV/Movies/Music,,181005,465000,0,Y,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,81004,215000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,80003,200000,0,Y,Y,
D000000303,ConocoPhillips,Oil & Gas,,80003,200000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,67004,180000,0,Y,Y,
D000000129,Exxon Mobil,Oil & Gas,,66003,165000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,45003,150000,0,Y,Y,
D000033033,Danaher Corp,Misc Mfg/Distrib,,32004,130000,0,Y,Y,
D000028057,Nucor Corp,Steel Production,,31003,115000,0,Y,Y,
D000021649,Nextel Communications,Telecom Svcs,,31003,115000,0,Y,Y,
"",Dell Inc,Electronics Mfg/Eqp,,31003,115000,0,Y,,
D000000703,Costco Wholesale,Retail Sales,,31003,115000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,31003,115000,0,Y,Y,
D000068479,Wellpoint Inc,Insurance,,30002,100000,0,Y,,
D000030251,Sysco Corp,Food Process/Sales,,50001,100000,0,Y,Y,
D000042332,Nestle SA,Food & Beverage,,50001,100000,0,Y,Y,
"",Michigan Municipal Bond Auth Develop,Unknown,Government Bond,50001,100000,0,Y,,
"",Merrill Lynch EuroFund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Mehta Tech Holdings,Unknown,,50001,100000,0,Y,,
D000000085,Goldman Sachs,Securities/Invest,,50001,100000,0,Y,Y,
"",CMA Treasury Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000021800,3M Co,Misc Mfg/Distrib,,30002,100000,0,Y,Y,
"",Motorola Inc,Telecom Svcs,,18004,95000,0,Y,,
D000000530,Lucent Technologies,Telecom Svcs,,18004,95000,0,Y,Y,
D000000367,Wal-Mart Stores,Retail Sales,,17003,80000,0,Y,Y,
D000022303,Valero Energy,Oil & Gas,,17003,80000,0,Y,Y,
D000000209,United Technologies,Defense Aerospace,,17003,80000,0,Y,Y,
"",TXU Corp,Electric Utilities,,17003,80000,0,Y,,
D000029309,Symantec Corp,Electronics Mfg/Eqp,,17003,80000,0,Y,Y,
D000029185,Staples Inc,Retail Sales,,17003,80000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,17003,80000,0,Y,Y,
D000000373,McDonald's Corp,Food & Beverage,,17003,80000,0,Y,Y,Y
D000000326,JC Penney,Retail Sales,,17003,80000,0,Y,Y,
D000000720,IBM Corp,Electronics Mfg/Eqp,,17003,80000,0,Y,Y,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,17003,80000,0,Y,Y,
D000000547,Gap Inc,Retail Sales,,17003,80000,0,Y,Y,
D000051182,Gannett Co,Publishing,,17003,80000,0,Y,Y,
"",Freeport-McMoRan Copper & Gold,Mining,,17003,80000,0,Y,,
