orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Met Life Variable Annuity Fund,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",Federated Capital Reserves Capital Reser,Unknown,,100001,250000,0,Y,,
"",Met Life Growth Strategy Portfolio Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",East West Bank Accounts,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",American Funds Bond Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wells Fargo Bank/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",RCM Technology Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pioneer Strategic Income Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Met Annuity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Healthcare Trust Care of America,Real Estate,,1001,15000,0,Y,,
"",Fidelity Freedom 2020 Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Investors Growth Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",Delaware Smid Cap Growth Fund,Unknown,Mutual Fund,1,1000,0,Y,,
