orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Riversource Var Universal Life,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",Riversource Strategic Select Port,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Riversource UGMA Mid Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,3004,46000,0,Y,,
"",Riversource ESA Small Cap Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Riversource UGMA Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource UGMA Large Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource Retirement Advisor 4 VA,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource Large Cap New Dimensions,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource International Select Fund,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Riversource Cash Management,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000042631,Daimler AG,Automotive,,1,1000,0,Y,Y,Y
