orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Garcia Investment Group,Securities/Invest,Note/Note Receivable,500001,1000000,0,Y,,
"",Morgan Stanley S&P 500 Index,Unknown,Mutual Fund,34006,160000,0,Y,,
"",Wells Fargo Account,Unknown,"Brokerage, IRA, 401k",30002,100000,0,Y,,
"",T Rowe Price College Savings Plan,Unknown,"Brokerage, IRA, 401k",30002,100000,0,Y,,
"",Accounts Receivable from promissory note,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,17003,80000,0,Y,Y,Y
"",Alaska Permanent Fund Dividend,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",4004,60000,0,Y,,
"",Northrim Bank Account,Unknown,Cash/Money Market/Savings/Checking,15001,51000,0,Y,,
"",State of Alaska Annuity Plan,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Morgan Stanley Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000033671,Firstbank,Commercial Banks,,15001,50000,0,Y,,Y
"",First Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Fidelity Small Cap Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Morgan Stanley American Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",US Global Inv Global Resources Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TD Ameritrade/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Schwab Cash Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Royce Premier Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Neuberger Berman Genesis Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Morgan Stanley Focus Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Morgan Stanley Dividend Grwth Securities,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Metropolitan West High Yield Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Masters Select International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lazard Emerging Markets Portfolio,Unknown,Mutual Fund,1001,15000,0,Y,,
"",ING International Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First Bank IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Blackrock Global Allocation Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Ranier Large Cap Equity Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Morgan Stanley Fund Op B Ltd Duration,Unknown,Mutual Fund,0,1000,0,Y,,
"",American Century International Discovery,Unknown,Mutual Fund,0,1000,0,Y,,
