orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000029514,Trinity Industries,Railroads,,5000001,25000000,0,Y,Y,
"",LFT LLC Equipment & Property Rental,Trucking,,1000001,5000000,0,A,,
"",Lea County Bancshares,Commercial Banks,,1000001,5000000,0,A,,
"",Gree Ltd,,,250001,500000,0,Y,,
"",Exedra LLC,Business Services,,250001,500000,0,Y,,
"",USAA SEP IRA FDIC Insured Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",Lea County State Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",Investment Land Turtleback Lot,Real Estate,,100001,250000,0,A,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",USAA Simple IRA FDIC Ins,Unknown,"Brokerage, IRA, 401k",50001,100000,0,A,,
"",Vehicles,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,A,,
"",College Sec 529 Plan Custom Choice,Unknown,Mutual Fund,15001,50000,0,A,,
"",Wells Fargo/Banking,Unknown,,1001,15000,0,A,,
"",USAA Federal Savings Bank Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Double Eagle Petroleum,Oil & Gas,,1001,15000,0,A,,
