orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Summer Beach #608,Real Estate,,250001,500000,0,Y,,
"",NW Fixed Account (CASH),Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Rupp & Assoc,Real Estate,,100001,250000,0,Y,,
"",MFS SunLife Fixed/Variable Ann,Unknown,,65002,150000,0,Y,,
"",TDAM Ins Dep,Unknown,Cash/Money Market/Savings/Checking,51002,115000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,51002,115000,0,Y,,
"",NW NVIT Govt Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Ishares Russell Mid Cap,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Ishares Barclays TIPS SPDR,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity High Income SVC2,Unknown,,50001,100000,0,Y,,
D000000090,Bank of America,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,Y,Y
"",Powershares Div Ach,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Vanguard US Large Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Summit Community Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Powershares Emerging Markets,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Nuveen Quality PDF,Unknown,,15001,50000,0,Y,,
"",iShares Russell 2000 Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ishares High Yield Corporate Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares DJ Us Real Estate Index,Real Estate,Mutual Fund,15001,50000,0,Y,,
"",Ishares Agency Treasury Bonds,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Barclays TIPS Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Amex Utilities SPDR,Unknown,Mutual Fund,1001,15000,0,Y,,
