orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanuard 500 Index Fund,,Mutual Fund,250001,500000,0,T,,
"",Vaunguard Developed Markets,,Mutual Fund,100001,250000,0,T,,
"",Vanguard Real Estate Investment Index Fund,Unknown,,100001,250000,0,T,,
"",Vanguard Global Ex-US Real Estate Fund,Real Estate,,100001,250000,0,T,,
"",Vanguard Extended Market Index Fund,,Mutual Fund,100001,250000,0,T,,
"",Vanguard Mid Cap Index Fund,,Mutual Fund,50001,100000,0,T,,
"",Vanguard Emerging Markets Fund,,Mutual Fund,50001,100000,0,T,,
"",Vanguard Total Stock Market Index Fund,,Mutual Fund,15001,50000,0,T,,
"",Vanguard Small Cap Fund,,Mutual Fund,15001,50000,0,T,,
"",Vanguard Pacific Market Index Fund,,Mutual Fund,15001,50000,0,T,,
"",Vanguard European Index Fund,,Mutual Fund,15001,50000,0,T,,
"",529 Savings Plans Noa Abramson,,"Brokerage, IRA, 401k",15001,50000,0,T,,
"",529 Savings Plans Maya Abramson,,"Brokerage, IRA, 401k",15001,50000,0,T,,
"",529 Savings Plans Ari Abramson,,"Brokerage, IRA, 401k",15001,50000,0,T,,
"",Vanguard 500 Index Fund,,Mutual Fund,1001,15000,0,T,,
"",Israel Bonds,Misc Finance,Government Bond,1001,15000,0,T,,
"",Henry A & Janet F Waxman Trust Vanguard Prime Mone,,Mutual Fund,1001,15000,0,T,,
