orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Land & Buildings Peterborough, NH",Real Estate,,1000001,5000000,0,T,,
"",New England Wood Pellet,Forest Products,,500001,1000000,0,T,,
"",LLB Revocable Trust - not self-directed,Unknown,Mutual Fund,500001,1000000,0,T,,
"",Allocation Advisors,Unknown,Mutual Fund,500001,1000000,0,T,,
"",Fund Source Core American Moderate Growt,Unknown,Mutual Fund,150002,350000,0,T,,
"",Pathways Mod Growth Fund/Wells Fargo,Unknown,Mutual Fund,100001,250000,0,T,,
"","Land in Sharon, NH: 50%",Real Estate,,100001,250000,0,T,,
"",Land & Buildings Edgarton MA 50%,Real Estate,,100001,250000,0,T,,
D000000129,Exxon Mobil,Oil & Gas,,100001,250000,0,T,Y,Y
"",CAP Industries,Crop Production,,100001,250000,0,T,,
"",Ocean Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,52003,130000,0,T,,
"",WJB/CFB Partnership,Unknown,,30002,100000,0,T,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,50001,100000,0,T,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,50001,100000,0,T,Y,Y
"",Ocean Bank,Commercial Banks,,16002,65000,0,T,,
"",Treasury Note,Unknown,Note/Note Receivable,15001,50000,0,T,,
"",Three Twins Organic Ice Cream,Food Process/Sales,,15001,50000,0,T,,
"",LB 529 American Mutual Fund Bond Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",JB 529 American Mutual Fund Capital Inco,Unknown,Mutual Fund,15001,50000,0,T,,
D000000133,GlaxoSmithKline,Pharm/Health Prod,,15001,50000,0,T,Y,
D000000076,AT&T Inc,Telephone Utilities,,15001,50000,0,T,Y,Y
"",American Fund Capital Income Builder,Unknown,Mutual Fund,15001,50000,0,T,,
"",American Fund Bond Fund of America,Unknown,Mutual Fund,15001,50000,0,T,,
"",LB 529 American Mutual Fund Growth Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",JB American Mutual Fund - Growth Fund of,Unknown,Mutual Fund,1001,15000,0,T,,
"",JB 529 American Mutual Fund Capital Worl,Unknown,Mutual Fund,1001,15000,0,T,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,T,Y,Y
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,T,Y,Y
"",American Fund Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Ocean Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,T,,
