orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","House/Palm Harbor, FL",Real Estate,,250001,500000,0,Y,,
"",Variable Annuity,Unknown,Insurance policies & Annuities,150002,350000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,65002,150000,0,Y,Y,
"",Synovus Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000022269,SunTrust Banks,Commercial Banks,,50001,100000,0,Y,,
D000000141,Prudential Financial,Insurance,,30002,100000,0,Y,Y,
"","Lots/Tarpon Springs, FL",Real Estate,,50001,100000,0,Y,,
"",Bank America/CDs & Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000000457,Corning Inc,Misc Mfg/Distrib,,16002,65000,0,Y,Y,
D000019743,Wells Fargo,Commercial Banks,,15001,50000,0,Y,Y,
D000000613,TECO Energy,Electric Utilities,,15001,50000,0,Y,Y,Y
"",Suburban Propane Partners,Oil & Gas,,15001,50000,0,Y,,
"",Scudder Municipal Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",New York Life Variable Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
D000000677,Hartford Financial Services,Insurance,,15001,50000,0,Y,Y,
"",Florida Bancshares,Commercial Banks,,15001,50000,0,Y,,
"","Empty Lot/Tarpon Springs, FL",Real Estate,,15001,50000,0,Y,,
D000057860,TV Azteca,TV/Movies/Music,,3003,45000,0,Y,,
"",Raymond James Heritage Cash Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Circle Group Holdings,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Circle Group Holdings,Unknown,,2002,30000,0,Y,,
"",Centennial Money Market Account,Unknown,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,1001,15000,0,Y,Y,
D000045801,US Bank,Commercial Banks,,1001,15000,0,Y,,
"",Tech Data Corp,Retail Sales,,1001,15000,0,Y,,
D000029128,South Financial Group,Commercial Banks,,1001,15000,0,Y,,
"",Patriot Bank,Commercial Banks,,1001,15000,0,Y,,
"",Oppenheimer MSIG Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000000182,Ford Motor Co,Automotive,,1001,15000,0,Y,Y,
"",Dreyfus MSDW Liquid Asset Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Congressional FCU/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Heritage Cash Fund,Unknown,"Brokerage, IRA, 401k",1,1000,0,Y,,
"",Health Axis,Misc Health,,1,1000,0,Y,,
"",AG Edwards Centennial Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",3Com Corp/Palm,Electronics Mfg/Eqp,,1,1000,0,Y,,
