orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Nucite Sales Inc,Misc Mfg/Distrib,,1000002,5001000,0,Y,,
"",Ohio Deferred Compensation Plan,Unknown,Mutual Fund,100001,250000,0,Y,,
"",DWS Dreman High Return Equity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Selected Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",UBS Financial RMA Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Ohio Public Employee Retirement System,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Munder Mid Cap Core Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Keeley Small Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Henderson Intl Opportunities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Franklin Templeton Flex Cap Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,50001,100000,0,Y,,
"",Calamos Market Neutral Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Royce Special Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO All Asset Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Europacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",RMA Tax Free Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First Financial Bank,Commercial Banks,,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
