orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000067523,Charles Schwab & Co,Securities/Invest,,65002,150000,0,Y,,
"",Ohio Public Employee Retirement System,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Advantage Bank/CDs,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Victory Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Vanguard Institutional Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PNC Bank Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",OPEDC Guaranteed Return Option,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Multi Color Corp,Unknown,,15001,50000,0,Y,,
"",Medical Action Industries,Unknown,,15001,50000,0,Y,,
D000034979,K-Swiss Inc,Misc Mfg/Distrib,,15001,50000,0,Y,,
"",Janus Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Gateway Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Daktroniks Inc,Unknown,,15001,50000,0,Y,,
D000000274,Cintas Corp,Misc Mfg/Distrib,,15001,50000,0,Y,,Y
"",Cheviot B&L/CDs,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bio Reference Labs,Unknown,,15001,50000,0,Y,,
"",USA Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Sigmatron International,Unknown,,1001,15000,0,Y,,
D000045000,Merit Medical Systems,Misc Health,,1001,15000,0,Y,,
"",Matrix Service Corp,Unknown,,1001,15000,0,Y,,
"",Marine Products Corp,Unknown,,1001,15000,0,Y,,
"",Gulf Island Fabrication,Oil & Gas,,1001,15000,0,Y,,
"",Finish Line St,Unknown,,1001,15000,0,Y,,
D000050544,Encore Acquisition,Oil & Gas,,1001,15000,0,Y,,
D000021900,CCA Industries,Misc Mfg/Distrib,,1001,15000,0,Y,,
