orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","6734 Spicewood Springs/Travis County, TX",Real Estate,,1000001,5000000,0,Y,,
"",Vanguard US Growth Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Vanguard Selected Value Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Vanguard Primecap Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Vanguard Convertible Securities,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Oakmark International Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
D000031048,Whole Foods Market,Food Process/Sales,,250001,500000,0,Y,,
"",Weitz Value Fund,Misc Finance,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Total Stock Market Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Tax-Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Vanguard Limited Term Tax-Exempt Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Intermediate Term Tax-Ex Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Growth Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"","3800 Kennelwood/Austin, TX",Real Estate,,250001,500000,0,Y,,
"","1200 Baylor/Austin, TX",Real Estate,,250001,500000,0,Y,,
"",1157 San Bernard St/Austin TX,Real Estate,,250001,500000,0,Y,,
"",Vanguard Short Term Bond Index,Unknown,Government Bond,100001,250000,0,Y,,
"",Vanguard Long Term Corp Admiral,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Selected American Shares Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Schwab Government Money Fund,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
"",Price Science & Technology,Unknown,,100001,250000,0,Y,,
"",Perkins Mid Cap Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Janus Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Invesco Small Cap Growth,Unknown,Mutual Fund,100001,250000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,100001,250000,0,Y,Y,
"",Franklin Templeton Mutual Shares Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,100001,250000,0,Y,Y,
D000032796,Compass Bank,Commercial Banks,Unknown,100001,250000,0,Y,,
D000024095,Apache Corp,Oil & Gas,,100001,250000,0,Y,Y,
"",American Century Ultra Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Small Cap Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",TIAA-CREF Real Estate Fund,Real Estate,,50001,100000,0,Y,,
"",TIAA-CREF Global Equities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Schwab Muni Money Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Prosperity Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000028426,PPG Industries,Chemicals,,50001,100000,0,Y,Y,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,
"",Nuveen Inter Duration Muni Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,50001,100000,0,Y,Y,
D000053249,Luminex Corp,Pharm/Health Prod,,50001,100000,0,Y,,Y
D000000103,JPMorgan Chase & Co,Commercial Banks,,50001,100000,0,Y,Y,
