orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",iShares Russell 1000 Value Index,Unknown,Mutual Fund,2550004,11100000,0,Y,,
"",118.91 Acres/183rd St & Renner Rd,Real Estate,,2000002,10000000,0,Y,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,2000003,7000000,0,Y,,
"",Promissory Note DTD 12/13/02 - Borrower,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",Dole Family LLC,Business Services,,1000001,5000000,0,Y,,
"",Balentine Hedge Fund II Select LP,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",streetTRACKS DJ Wilshire REIT ETF Fund,Unknown,,700003,1500000,0,Y,,
"",Wilmington Tax Ex Fund W Class,Unknown,Mutual Fund,600002,1250000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,450003,1000000,0,Y,,
D000000015,Chevron Corp,Oil & Gas,,500001,1000000,0,Y,Y,
"",Vanguard Inflation Protected Securities,Unknown,Mutual Fund,350002,750000,0,Y,,
"",Promissory Note from Robin C Dole,Unknown,Note/Note Receivable,300002,600000,0,Y,,
"",SPDR Trust Unit Ser 1,Unknown,Mutual Fund,250001,500000,0,Y,,
"",PNC Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Frederick J Tansill & Assoc,Unknown,Note/Note Receivable,250001,500000,0,Y,,
"",Forest Glen Inc,Real Estate,,250001,500000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Norma Jean Steele promissory notes,Unknown,Note/Note Receivable,150003,300000,0,Y,,
"",iShares S&P Small Cap 600 Growth Index,Unknown,Mutual Fund,115002,300000,0,Y,,
"",Gloria Nelson,Unknown,Note/Note Receivable,150003,300000,0,Y,,
"",Wilmington Multi Manager International,Unknown,Mutual Fund,100001,250000,0,Y,,
"",University of TX Revs Financing Sys Bond,Unknown,Government Bond,100001,250000,0,Y,,
"","Seaview Hotel Rental/Bal Harbor, FL",Lodging/Tourism,,100001,250000,0,Y,,
"","Ogden City, UT Sch Dist Sch Bldg Sch Bd",Unknown,Government Bond,100001,250000,0,Y,,
"",Missouri HEFA Educ Facs Maryville Univ,Unknown,Government Bond,100001,250000,0,Y,,
"",Michigan Muni Bd Auth Clean Wtr Bd,Unknown,Government Bond,100001,250000,0,Y,,
"",Kansas DFA Rev Transportation Rev Bond,Unknown,Government Bond,100001,250000,0,Y,,
"","Johnson Cnty, KS Ref-Internal Impt Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Jefferson Cnty AL Pub Bldg Auth Lease Bd,Unknown,Government Bond,100001,250000,0,Y,,
"",Delaware Transp Auth Transp Sys Rev Bond,Unknown,Government Bond,100001,250000,0,Y,,
