orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",JPMorgan Short Duration Bond Fund,Unknown,Mutual Fund,1000001,5000000,0,T,,
"","Personal Residence/Chicago, IL",Real Estate,,500001,1000000,0,T,,
"",JPMorgan Treasury & Agency Fund,Unknown,Mutual Fund,500001,1000000,0,T,,
"",JPMorgan Deposit Sweep Institutional,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,T,,
"",Vanguard Fixed Income Securties Fund,Unknown,Mutual Fund,250001,500000,0,T,,
"",Legg Mason Appreciation Fund,Unknown,Mutual Fund,250001,500000,0,T,,
"",JPMorgan Tax Aware Real Return Fund,Unknown,Mutual Fund,250001,500000,0,T,,
"",JPMorgan Asia Equity Fund,Unknown,Mutual Fund,250001,500000,0,T,,
"",iShares Russell Mid Cap Index,Unknown,Mutual Fund,250001,500000,0,T,,
"",FMI Large Cap Fund,Unknown,Mutual Fund,250001,500000,0,T,,
"",Thornburg Value Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",T Rowe Price International Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",SPDR Trust Unit Series,Unknown,Mutual Fund,100001,250000,0,T,,
"",Matthews Pacific Tiger Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",JPMorgan Tax Aware US Equity Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",JPMorgan Strategic Income Opportunities,Unknown,Mutual Fund,100001,250000,0,T,,
"",JPMorgan International Value Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",JPMorgan Intermediate Tax Free Bond Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",JPMorgan High Yield Bond Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",iShares Russell 1000 Growth Index,Unknown,Mutual Fund,100001,250000,0,T,,
"",Fidelity Series II High Income,Unknown,Mutual Fund,100001,250000,0,T,,
"",Eaton Vance Global Macro Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",Eaton Vance Floating Rate Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,100001,250000,0,T,,
"",American Century Equity Income Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",T Rowe Price Overseas Stock fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",SPDR Gold Trust ETF,Mining,,50001,100000,0,T,,
"",JPMorgan US Large Cap Core Plus Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",JPMorgan Intrepid Long Short Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",JPMorgan Growth Advantage Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",iShares S&P Mid Cap 400 Index,Unknown,Mutual Fund,50001,100000,0,T,,
"",iShares Russell 2000 Index,Unknown,Mutual Fund,50001,100000,0,T,,
"",Hartford Mid Cap Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",Goldman Sachs High Yield Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",Dreyfus/Laurel Funds PRM Emerging Market,Unknown,Mutual Fund,50001,100000,0,T,,
"",Chilton New Era Partners,Unknown,,50001,100000,0,T,,
"",Artio International Equity Fund II,Unknown,Mutual Fund,50001,100000,0,T,,
"",Powershares DB Commodity Index,Unknown,Mutual Fund,15001,50000,0,T,,
"",Nuveen NWQ Value Opptotunity Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",JPMorgan US Real Estate Fund,Real Estate,Mutual Fund,15001,50000,0,T,,
"",JPMorgan Market Neutral Sel,Unknown,Mutual Fund,15001,50000,0,T,,
"",JPMorgan Highbridge Stat Mkt Neut Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",JPMorgan 100% US Treasury Securities Mon,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Ishares Russell 1000 Value Index,Unknown,Mutual Fund,15001,50000,0,T,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,15001,50000,0,T,,
"",iShares Barclays TIPS Bond Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Unumprovident Corp,Unknown,Government Bond,1001,15000,0,T,,
"",Sealed Air Corp,Chemicals,,1001,15000,0,T,,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,T,Y,
"",JPMorgan US Large Cap Value Plus Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",JPMorgan Rahm Emanuel Life Insurance,Unknown,"Brokerage, IRA, 401k",1001,15000,0,T,,
"",JPMorgan Market Expansion Index,Unknown,Mutual Fund,1001,15000,0,T,,
"",JPMorgan Account/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",JPMorgan Account for Rahm Emanuel/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",iShares MSCI All Country Asia Except JPN,Unknown,Mutual Fund,1001,15000,0,T,,
"",Good Hope LP,Real Estate,,1001,15000,0,T,,
"",Eagle Mid Cap Stock Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Ashton Tamro Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Appleseed Fund,Unknown,Mutual Fund,1001,15000,0,T,,
