orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Phil English Blind Trust,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",100001,250000,0,Y,,
"",Merrill Lynch Cash Money Fund,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",Merrill Lynch Global Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Capital Income Builder,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Merrill Lynch IRA/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Fundamental Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Merrill Lynch Basic Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Merrill Lynch Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",ING Principal Protection Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Merrill Lynch Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Merrill Lynch Cash Account,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
