orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Rental Property & Residence/New York, NY",Real Estate,,5000001,25000000,0,Y,,
"",HPB Enterprises,Real Estate,,1100003,5200000,0,Y,,
"",Rental Property/Single Family/New Canaan,Real Estate,,1000001,5000000,0,Y,,
"","House/Washington, DC",Real Estate,,1000001,5000000,0,Y,,
"",Eaton Vance Tax Managed,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Wachovia Money Market,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
"","Monroe Condominiums Unit/Arlington, VA",Real Estate,,500001,1000000,0,Y,,
"",Jefferson Investors,Real Estate,,500001,1000000,0,Y,,
"",Green Sea Farms,Crop Production,,500001,1000000,0,Y,,
"",Beechtree Park Inc,Real Estate,,500001,1000000,0,Y,,
"",Minnewawa Assoc,Real Estate,,250001,500000,0,Y,,
D000061826,Interpool Inc,Air Transport,,250001,500000,0,Y,,Y
"",Holiday Village Inc,Real Estate,,250001,500000,0,Y,,
"",Chromium Industries,Misc Mfg/Distrib,,200002,500000,0,Y,,
"",Bosher Family Partnership,Real Estate,,200003,450000,0,Y,,
"",Sea Bay Development Corp,Real Estate,,150003,300000,0,Y,,
D000000079,Verizon Communications,Telephone Utilities,,100001,250000,0,Y,Y,Y
"",RG Bosher Irrevoable Life Insur Trust,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
D000028398,PNC Financial Services,Commercial Banks,,100001,250000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,100001,250000,0,Y,Y,
D000000275,Merck & Co,Pharm/Health Prod,,100001,250000,0,Y,Y,
D000000334,Honeywell International,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
D000026492,HJ Heinz Co,Food Process/Sales,,100001,250000,0,Y,Y,
D000000129,Exxon Mobil,Oil & Gas,,100001,250000,0,Y,Y,
"",Eaton Vance Tax Adv Gl Dividends,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Columns LLC,Real Estate,,100001,250000,0,Y,,
D000032736,Colgate-Palmolive Co,Pharm/Health Prod,,100001,250000,0,Y,,
