orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000030119,Stifel Nicolaus Inc,Securities/Invest,Unknown,500001,1000000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,128050,128050,0,O,Y,
"",Ginnie Mae,Real Estate,,89529,89529,0,O,,
D000000205,Fannie Mae,Real Estate,,79628,79628,0,O,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,74161,74161,0,O,Y,
D000029969,Zions BanCorp,Commercial Banks,,66080,66080,0,O,Y,
"",Eaton Vance Enhanced Equity Income Fund Ii,Unknown,Mutual Fund,62235,62235,0,O,,
"",Bank America,Commercial Banks,,56070,56070,0,O,,
D000000106,Morgan Stanley,Securities/Invest,,53220,53220,0,O,Y,
D000000326,JC Penney,Retail Sales,,48750,48750,0,O,Y,
"",ARES DYNAMIC CREDIT,Unknown,,31640,31640,0,O,,
D000000132,Archer Daniels Midland,Agricultural Svcs,,29016,29016,0,O,Y,
"",TCP Capital Corp,Unknown,,26848,26848,0,O,,
"",Banc California Inc,Unknown,,26400,26400,0,O,,
"",Cushing Renaissance Fund,Unknown,,25584,25584,0,O,,
D000062132,Legacy Reserves,Oil & Gas,,20481,20481,0,O,,
D000059097,Cohen & Steers,Unknown,,18128,18128,0,O,,
D000000419,Home Depot,Retail Sales,,16060,16060,0,O,Y,
"",TIAA Traditional Annuity,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",State of Washington Deferred Compensation,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",PPL Capital Fund,Unknown,,14962,14962,0,O,,
D000024112,ArcelorMittal,Unknown,,10350,10350,0,O,Y,
D000058976,Assured Guaranty Us Holdings,Unknown,,9300,9300,0,O,,
