orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Rental Property/Shorlo Condo,Real Estate,,100001,250000,0,Y,,
"",Hibernia Bank,Commercial Banks,,100001,250000,0,Y,,
"",Edward D Jones 401K,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",Franklin Custodian Income Fund,Unknown,Mutual Fund,114740,114740,0,Y,,
"",Putnam Voyager Fund,Unknown,Mutual Fund,77658,77658,0,Y,,
"",Putnam Growth & Income Fund,Unknown,Mutual Fund,63601,63601,0,Y,,
"",Templeton Growth Fund,Unknown,Mutual Fund,63456,63456,0,Y,,
"",Mutual Series Fund Inc Shares Fund,Unknown,Mutual Fund,58663,58663,0,Y,,
"",Franklin FLoating Rate Daily Fund,Unknown,Mutual Fund,50771,50771,0,Y,,
"",Rental Property/Mini Storage,Real Estate,,15001,50000,0,Y,,
"",Rental Property/Jefferson,Real Estate,,15001,50000,0,Y,,
"",Gen Ad Bond,Unknown,Government Bond,15001,50000,0,A,,
"",Legg Mason Core Bond Fund,Unknown,Mutual Fund,42264,42264,0,Y,,
"",American Capital Income Builder Fund,Unknown,Mutual Fund,30463,30463,0,Y,,
"",Merrill Lynch Bank USA RASP,Unknown,"Brokerage, IRA, 401k",19396,19396,0,Y,,
"",Putnam Income Fund,Unknown,Mutual Fund,17540,17540,0,Y,,
"",Merrill Lynch Bank USA,Commercial Banks,Cash/Money Market/Savings/Checking,15639,15639,0,Y,,
"",US Treasury Bond,Unknown,Government Bond,15230,15230,0,Y,,
"",Wachovia Bank/Escrow,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000022762,Hibernia National Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Household Financial,Finance/Credit,Government Bond,14889,14889,0,Y,,
"",BGI Russell 1000 Stock Index Fund,Unknown,Mutual Fund,14153,14153,0,Y,,
D000000091,BP,Oil & Gas,,13074,13074,0,Y,Y,Y
"",US Treasury Note,Unknown,Government Bond,12620,12620,0,Y,,
"",Legg Mason High Yield Portfolio,Unknown,Mutual Fund,12156,12156,0,Y,,
"",MLJWH Strategic Allocation Fund,Unknown,Mutual Fund,11217,11217,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,11160,11160,0,Y,Y,
"",Pioneer Strategic Income Fund,Unknown,Mutual Fund,10789,10789,0,Y,,
"",Legg Mason Investment Grade Income Portf,Unknown,Mutual Fund,10746,10746,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,10520,10520,0,Y,Y,Y
"",BlackRock Strategic Dividend Achievers,Unknown,Mutual Fund,10283,10283,0,Y,,
"","Lafayette, La Sls Tax Pub Impvt Bond",Unknown,Government Bond,10198,10198,0,Y,,
"",MBNA America Bank/CD,Unknown,Cash/Money Market/Savings/Checking,10090,10090,0,Y,,
D000000205,Fannie Mae Bond,Real Estate,,9993,9993,0,Y,Y,
"",Columbia Acorn Trust Fund,Unknown,Mutual Fund,8927,8927,0,Y,,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,8109,8109,0,Y,Y,
"",George Putnam Fund of Boston,Unknown,Mutual Fund,7786,7786,0,Y,,
