orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Residential Property,Real Estate,,500001,1000000,0,Y,,
"",GE Interest Plus Savings Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,Y,,
"",T Rowe Price New Era Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Media & Telefund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Sangamo Bioscience,Unknown,,1001,15000,0,Y,,
"",Permanent Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",EMC Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,1001,15000,0,Y,Y,
"",Pacificnet.Com,Internet,,1,1000,0,Y,,
