orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Venture Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Retirement Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",UN HSD Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Sch Brd Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Powershares Exchange Traded Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Marsico Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Leander Tex Indpt Sch Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",FST Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",FPA Perennial Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fixed Period Account,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Merrill Lynch Bank Deposit Program Money Market,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",WGL Holdings Inc,Unknown,,15001,50000,0,Y,,
"",TRowe Price International,Unknown,Mutual Fund,15001,50000,0,Y,,
"",TIAA-CREF Retirement-TIAA Traditional,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Russell Mid Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Miami Beach FL Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Large Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan Large Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",John Hancock Asset Mgmt Lifestyle Moderate Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Global Resources Fund,Unknown,,15001,50000,0,Y,,
"",GE Capital Retail Bank,Securities/Invest,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",DFA World Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DC Income Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Corp Purpose Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",CCA Dedicated Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bond Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Baron Growth Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000172,MetLife Inc,Insurance,,1001,15000,0,Y,Y,
"",Met Life Insurance Co Deferred Annuities,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",John Hancock Asset Mgmt Total Stock Market Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Deutsche Real Estate Securities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davis Fundamental Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Boston Capital Private Tax Credit,Unknown,,1,1000,0,Y,,
