orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Massachusetts State Employee Pension,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"","33 Myrtle Street/Boston, MA",Real Estate,,100001,250000,0,Y,,
"","Unimproved land 120 acres/Plainfield, MA",Real Estate,,50001,100000,0,Y,,
"","27 acres of unimproved land/Pelham, MA",Real Estate,,50001,100000,0,Y,,
"",25 acres unimproved land/Berlin Township,Real Estate,,50001,100000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",AmCap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","45 acres of unimproved land/Pelham, MA",Real Estate,,15001,50000,0,Y,,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Scudder New Europe Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Magellan Petroleum,Oil & Gas,,1001,15000,0,Y,,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Canada Southern Petroleum,Oil & Gas,,1001,15000,0,Y,,
