orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","160 acres/Bullhead City, AZ",Real Estate,,500001,1000000,0,Y,,
"",Wells Fargo Tax Free Money Market Trust,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Dow Jones US Technology Sector Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Dow Jones US Healthcare Sector Index,Misc Health,,100001,250000,0,Y,,
"","West Bloomfield, MI School Dist Ref Bond",Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","West Bend, WI Ref Bond",Unknown,Government Bond,50001,100000,0,Y,,
"","Washington Cnty, UT Sch Dist Sch Bldg Bd",Unknown,Government Bond,50001,100000,0,Y,,
"","Patented Mining Claims/Searchlight, NV",Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"","Patent Survey 2605/Searchlight, NV",Mining,,50001,100000,0,Y,,
"",Oregon St G/O Unltd Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Muskegon Mich Pub Schs Ref,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","Milwaukee County, WI Corp Purp Bond",Unknown,Government Bond,50001,100000,0,Y,,
"","Maricopa Cnty, AZ Community College Dist",Unknown,Government Bond,50001,100000,0,Y,,
"",Lot 19 Sec 27 T 28S R 63 E Mdbm,Real Estate,,50001,100000,0,Y,,
"","Kenosha County, WI Ref Ser A",Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","Gregory Portland, TX Indep Schl Dist Bnd",Unknown,Government Bond,50001,100000,0,Y,,
"",Franklin TN FEF,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Elvira, Birdle & Mesa Patented Claim",Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"","Easton, PA Area Sch Dist Bond",Unknown,Government Bond,50001,100000,0,Y,,
"",Dubuque Patented Claim (See Supp 2),Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"",Dow Jones US Industrial Sector Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Dow Jones US Energy Index,Misc Energy,,50001,100000,0,Y,,
"",Dow Jones US Consumer Non-Cyclical Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Dow Jones US Consumer Cyclical Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Dow Jones Financial Index Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Cushman #1 Patented Claim,Real Estate,,50001,100000,0,Y,,
"",Cook County Cmnty High School Dist No 21,Unknown,Government Bond,50001,100000,0,Y,,
"",Wells Fargo Advantage Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","Waterford, MI School District Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Union County NJDated 3/1/04,Unknown,Government Bond,15001,50000,0,Y,,
"",Smallcap 600 Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Russell Midcap Value Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Russell Midcap Growth Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Northbrook, IL Park Dist Bond",Unknown,Government Bond,15001,50000,0,Y,,
"","Multnomah County, OR Ser A Bond",Unknown,Government Bond,15001,50000,0,Y,,
"","Marnsfield, TX Indpt School Dist Rfdg",Unknown,Government Bond,15001,50000,0,Y,,
"","Maricopa County, AZ USD 80 Chandler Rfdg",Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lots Grand Central Addition/Searchlight,Real Estate,,15001,50000,0,Y,,
"","Lake Travis, TX ISD School Bonds",Unknown,Government Bond,15001,50000,0,Y,,
"",Illinois State G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"","Henderson, NV Muni Bonds",Unknown,Government Bond,15001,50000,0,Y,,
"","Glendale, AZ USD 205 Schl Impvt Proj Bnd",Unknown,Government Bond,15001,50000,0,Y,,
"",Dow Jones US Telecommunications Index,TV/Movies/Music,Mutual Fund,15001,50000,0,Y,,
"",Dow Jones US Basic Materials Sector Indx,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Demand Note From Herry Reid,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",Crown King Mine,Mining,,15001,50000,0,Y,,
"","Clark County, NV Hospital Muni Bonds",Unknown,Government Bond,15001,50000,0,Y,,
"","Arkport, NY Central School District Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Alaska State Housing Financial Corp,Unknown,Government Bond,15001,50000,0,Y,,
"",55.10 Acre Parcel,Real Estate,,15001,50000,0,Y,,
"","Patent Survey 3902/Searchlight, NV",Mining,,1001,15000,0,Y,,
"","Part Parcel III Lot 10/Searchlight, NV",Real Estate,,1001,15000,0,Y,,
"",Iron Clad Lode,Unknown,,1001,15000,0,Y,,
"",Government Lot 10,Real Estate,,1001,15000,0,Y,,
"","2 Parcels/Iron County, UT",Real Estate,,1001,15000,0,Y,,
"",Wells Fargo Money Market/Checking,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
D000000128,Walt Disney Co,TV/Movies/Music,,0,1000,0,Y,Y,
"",Walgreen Co,Retail Sales,,0,1000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,0,1000,0,Y,Y,
D000029636,Varian Medical Systems,Pharm/Health Prod,,0,1000,0,Y,Y,
D000000487,US Bancorp,Commercial Banks,,0,1000,0,Y,Y,
D000000348,UnitedHealth Group,Health Services,,0,1000,0,Y,Y,
D000000209,United Technologies,Defense Aerospace,,0,1000,0,Y,Y,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000000619,Target Corp,Retail Sales,,0,1000,0,Y,Y,
D000030251,Sysco Corp,Food Process/Sales,,0,1000,0,Y,,
D000029309,Symantec Corp,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,0,1000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,0,1000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,0,1000,0,Y,Y,
"",Nokia Corp,Telecom Svcs,,0,1000,0,Y,,
"",MSCI Japan Index,Unknown,,0,1000,0,Y,,
"",Mid Cap S&P Dep Rec Trust,Unknown,Mutual Fund,0,1000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
"",McGraw-Hill Companies,Publishing,,0,1000,0,Y,,
"",MBIA Inc,Insurance,,0,1000,0,Y,,
D000053431,Marvell Technology Group,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,0,1000,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,0,1000,0,Y,Y,
"",Intelli-Check Inc,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000000419,Home Depot,Retail Sales,,0,1000,0,Y,Y,Y
"",Health Care Property Investors,Real Estate,,0,1000,0,Y,,
D000026387,Harley-Davidson Inc,Misc Transport,,0,1000,0,Y,,
D000021715,Golden West Financial,Commercial Banks,,0,1000,0,Y,,
D000026221,Gilead Sciences,Pharm/Health Prod,,0,1000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,0,1000,0,Y,Y,
"",Fortune Brands,Securities/Invest,,0,1000,0,Y,,
"",First Dade Corp,Unknown,,0,1000,0,Y,,
D000000452,Federated Investors Inc,Securities/Invest,,0,1000,0,Y,Y,
D000000129,Exxon Mobil,Oil & Gas,,0,1000,0,Y,Y,
D000019828,Emerson Electric,Misc Mfg/Distrib,,0,1000,0,Y,Y,
D000025625,Ecolab Inc,Chemicals,,0,1000,0,Y,Y,
"",Dell Inc,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000033033,Danaher Corp,Misc Mfg/Distrib,,0,1000,0,Y,Y,
"",Cognes Inc,Unknown,,0,1000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,0,1000,0,Y,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,0,1000,0,Y,Y,
"",Cendant Corp,Lodging/Tourism,,0,1000,0,Y,,
D000021892,Cardinal Health,Pharm/Health Prod,,0,1000,0,Y,Y,
