orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000019743,Wells Fargo,Commercial Banks,,50001,100000,0,Y,Y,Y
"",SPDR S&P 500 Fund,Unknown,,97332,97332,0,Y,,
"",USAA/Savings,Unknown,,15001,50000,0,Y,,
"",US Contrarian Fund,Unknown,,15001,50000,0,Y,,
"",International Fund,Unknown,,15001,50000,0,Y,,
"",Diamond Hill Large Cap Fund,Unknown,,15001,50000,0,Y,,
"",Artisan Mid Cap Fund,Unknown,,15001,50000,0,Y,,
"",MI Education 529 Agg Age,Unknown,,3003,45000,0,Y,,
"",Vanguard High Dividend Yield Fund,Unknown,,42004,42004,0,Y,,
"",Vanguard Total Bond Market Index Fund,Unknown,,41466,41466,0,Y,,
"",Vanguard Extended Market Index,Unknown,,28780,28780,0,Y,,
"",Vanguard Total International Stock Market Index,Unknown,,27552,27552,0,Y,,
"",DWS Commodity Securities Fund,Unknown,,20019,20019,0,Y,,
"",Templeton Income Global Bond Fund,Unknown,,19877,19877,0,Y,,
"",Vanguard Inter Term Tax Exempt Fund,Unknown,,19207,19207,0,Y,,
"",Vanguard FTSE Emerging Markets Bond,Unknown,,18966,18966,0,Y,,
"",iShares Dow Jones International Select Dividends F,Unknown,,18932,18932,0,Y,,
D000029689,Visa Inc,Finance/Credit,,1001,15000,0,Y,Y,
"",USAA/Checking,Unknown,,1001,15000,0,Y,,
"",Prudential Value Fund,Unknown,,1001,15000,0,Y,,
"",Prudential Blend,Unknown,,1001,15000,0,Y,,
"",Fidelity Contrafund,Unknown,,1001,15000,0,Y,,
"",Bi-Petro,Unknown,,1001,15000,0,Y,,
"",Bank of America Account,Commercial Banks,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,,12480,12480,0,Y,,
"",Schwab Governemnt Securities,Unknown,,10136,10136,0,Y,,
"",Doubleline Core Fixed Income Fund,Unknown,,9359,9359,0,Y,,
"",Matthews Asian Growth & Income Fund,Unknown,,9255,9255,0,Y,,
"",Guggenheim Bulletshares 2014 High Yield Corp,Unknown,,9060,9060,0,Y,,
"",Blackrock Global Allocation Fund,Securities/Invest,,7958,7958,0,Y,,
"",Vanguard Short Term Investment Grade Fund,Unknown,,7060,7060,0,Y,,
"",PIMCO Total Return Fund,Unknown,,5870,5870,0,Y,,
"",Predential Jenison Blend Fund,Unknown,,3049,3049,0,Y,,
