orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","House/Truro, MA",Real Estate,,250001,500000,0,Y,,
"",Franklin Templeton Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Fidelity Funds,Unknown,Mutual Fund,100001,250000,0,Y,,
"",UBS T Rowe Price Small Cap,Unknown,Mutual Fund,100002,200000,0,Y,,
"",Vanguard Health Care Fund,Misc Health,,51002,115000,0,Y,,
"",Vanguard 500 Index,Securities/Invest,Mutual Fund,31003,115000,0,Y,,
"",Vanguard Wellington Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Pennsylvania Deferred Compensation,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",BlackRock 500,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Williams Co/23rd St Properties, NY",Real Estate,,15001,50000,0,Y,,
"",Wachovia Mutual,Unknown,,15001,50000,0,Y,,
"",Vanguard Wellesley,Unknown,Mutual Fund,15001,50000,0,Y,,
"",University of PA Vanguard 500,Unknown,Mutual Fund,15001,50000,0,Y,,
"",TIAA Real Estate Fund,Real Estate,,15001,50000,0,Y,,
"",PNC Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",PNC Bank Fidelity Freedom,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lincoln Fixed Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Lincoln Delaware Social Awareness,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lincoln Delaware Growth & Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lincoln Delaware Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",CREF Social Choice Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard US Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",University of PA Vanguard Morgan,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TIAA-CREF Social Change,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TIAA-CREF Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TIAA-CREF Fixed Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",TC Life Cycle,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab 500,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lincoln Loans Capital Appreciation,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lincoln Delaware Special Opportunities,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Israel Bonds,Misc Finance,Government Bond,1001,15000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Equity Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
