orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Centerpoint Energy Retirement/Cash,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Standard & Poors Depository Receipts,Unknown,Mutual Fund,216004,565000,0,Y,,
"",Vanguard 500 Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Mid Cap Spdr Trust,Unknown,Mutual Fund,151003,365000,0,Y,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,166005,365000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Growth Equity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Shelly Sekula MD,Unknown,,100001,250000,0,Y,,
"",International,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Iboxx Invest Grade Corp Bond Fnd,Unknown,Mutual Fund,101003,215000,0,Y,,
"",iShares S&P Mid Cap 400 Value Index,Unknown,Mutual Fund,32004,130000,0,Y,,
"",Vanguard REIT Index,Real Estate,Mutual Fund,31003,115000,0,Y,,
"",iShares S&P Small Cap 600 Index,Unknown,Mutual Fund,31003,115000,0,Y,,
"",iShares 20+ Year Treasury Index,Unknown,Mutual Fund,31003,115000,0,Y,,
"",iShares 13 Year Treasury Index,Unknown,Mutual Fund,31003,115000,0,Y,,
"",Eaton Vance Income Fund of Boston,Misc Finance,Mutual Fund,31003,115000,0,Y,,
"",Vanguard Target Retirement 2005 Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Reliant Energy Stock Fund,Misc Energy,,50001,100000,0,Y,,
"",Morgan Stanley Bank,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Leg Strategic Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Janus Flexible Bond Protfolio,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares S&P Small Cap 600 Growth Index,Unknown,Mutual Fund,30002,100000,0,Y,,
"",iShares S&P 500 Index,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Growth & Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity VIP Contrafund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Chula Vista Ca Indl Dev Rev Rfdg SD Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Centerpoint Energy Common Stock Fund,Misc Energy,,50001,100000,0,Y,,
"",American Funds Europacific Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Lasalle National Bank/CD,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",iShares S&P Small Cap 600 Value Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Centennial Money Market,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
D000000619,Target Corp,Retail Sales,,15001,50000,0,Y,Y,
D000030251,Sysco Corp,Food Process/Sales,,15001,50000,0,Y,,
"",Salomon Brothers Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
