orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Smith Frozen Foods,Food Process/Sales,,26000002,55000000,0,T,,
"",Smith Campaign,Unknown,Note/Note Receivable,1000001,5000000,0,T,,
"",Garrett Packing Co,Business Services,,500001,1000000,0,T,,
"",Smith Frozen Foods Pension/Profit Sharng,Unknown,"Brokerage, IRA, 401k",350002,750000,0,T,,
D000019642,Northwestern Mutual Life Insurance,Insurance,Insurance policies & Annuities,200002,500000,0,T,,
"",AmerUS Group Life Insurance Policy,Unknown,Insurance policies & Annuities,101002,265000,0,T,,
"",MassMutual Life Insurance Policy,Unknown,Insurance policies & Annuities,50001,100000,0,T,,
"",Beneficial Life Insurance Co Policy,Unknown,Insurance policies & Annuities,50001,100000,0,T,,
D000045801,US Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Smith Barney IRA,Unknown,"Brokerage, IRA, 401k",15001,50000,0,T,,
"",Note receivable - Tubbs,Unknown,Note/Note Receivable,15001,50000,0,T,,
"",Note receivable - Shannon,Unknown,Note/Note Receivable,15001,50000,0,T,,
D000000244,Marathon Oil,Oil & Gas,,15001,50000,0,T,Y,Y
"",Columbia River Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Smith Barney Bank Deposit,Unknown,Cash/Money Market/Savings/Checking,32663,32663,0,T,,
"",AMCAP Fund,Unknown,Mutual Fund,17126,17126,0,T,,
"",US Senate Federal Credit Union,Unknown,Unknown,1001,15000,0,T,,
"",Templeton Growth Mutual,Unknown,Mutual Fund,1001,15000,0,T,,
D000024738,Chevy Chase Bank,Savings & Loans,Cash/Money Market/Savings/Checking,1001,15000,0,T,,Y
"",Brittany Farming Inc,Crop Production,,1001,15000,0,T,,
"",Janus Advisor Forty Fund,Unknown,Mutual Fund,5945,5945,0,T,,
"",Legg Mason Financial Services,Misc Finance,,4529,4529,0,T,,
"",Uts Uncommon Values,Unknown,Mutual Fund,3560,3560,0,T,,
"",Legg Mason Aggressive Growth,Unknown,Mutual Fund,3105,3105,0,T,,
"",Income Fund of America,Unknown,Mutual Fund,1423,1423,0,T,,
"",Prime Money Market,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,T,,
