orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Theodore F Stevens Blind Trust,Unknown,"Brokerage, IRA, 401k",500001,1000000,0,T,,
"",Oil Interests,Oil & Gas,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",100001,250000,0,T,,
"",Land - Crystal Shores Lot 29,Real Estate,,50001,100000,0,T,,
"","Investment in House/Wickenburg, AZ",Unknown,,50001,100000,0,T,,
"",Wells Fargo Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,T,,
"",US Senate Federal Credit Union,Unknown,Unknown,15001,50000,0,T,,
"",National Life insurance policy,Unknown,Insurance policies & Annuities,15001,50000,0,T,,
"",Jennison Small Co Z,Unknown,Mutual Fund,15001,50000,0,T,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Fidelity Intl Small Cap Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",DWS Equity 500 Index Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Commercial Property Interest/Anchorage,Real Estate,,15001,50000,0,T,,
"",Sacks Restaurant,Food & Beverage,,1001,15000,0,T,,
"",Munder Internet Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Chevy Chase Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Chamer Co/Bank account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",CGCM Small Cap Value Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",CGCM Small Cap Growth Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",CGCM Large Cap Value Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",CGCM Large Cap Growth Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",CGCM International Equity Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",CGCM Emerging Markets Equity Investments,Unknown,Mutual Fund,1001,15000,0,T,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Alaska's Great Eagle LLC,Livestock,,1001,15000,0,T,,
"",TCW Select Equities Fund,Unknown,Mutual Fund,0,1000,0,T,,
"",Fidelity Diversified International Fund,Unknown,Mutual Fund,0,1000,0,T,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,T,,
"",CGCM Money Market Investments,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,T,,
