orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000019743,Wells Fargo,Commercial Banks,,31003,115000,0,Y,Y,Y
"",Park Plaza Office LP,Unknown,,50001,100000,0,Y,,
"",Lot 515/517 (1/2 Interest),Real Estate,,50001,100000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,50001,100000,0,A,Y,
"",Wells Fargo Advantage Funds-IRA,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Westside 2000 Ltd,Unknown,,15001,50000,0,Y,,
"",Wells Fargo Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Wells Fargo IRA,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Nuveen Equity Premium Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000028057,Nucor Corp,Steel Production,,15001,50000,0,Y,Y,Y
"",North Carolina Employees Retirement Sys,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Lot/1.63 Acres,Real Estate,,15001,50000,0,Y,,
D000022042,ING Group,Insurance,Mutual Fund,15001,50000,0,Y,Y,
"","High Point, NC Bond",Unknown,Government Bond,15001,50000,0,Y,,
D000000352,Caterpillar Inc,Building Materials,,15001,50000,0,A,Y,
"",Blackrock Muniholdings Insured Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Agic International & Perm Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ariel Appreciation Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Transamerica IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",SR Housing Prop Trust Reit,Unknown,,1001,15000,0,Y,,
D000045190,Spectra Energy,Oil & Gas,,1001,15000,0,Y,Y,
"",Rydex Sector Rotation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ranier Invt Mgmt Mid Cap Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,Y,Y,Y
D000000321,Nextera Energy,Electric Utilities,,1001,15000,0,Y,Y,
D000027589,Micron Technology,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Mechanics & Farmers Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Market Vectors Gold Miners ETF,Mining,,1001,15000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Eaton Vance Worldwide Health Sciences Fd,Misc Health,,1001,15000,0,Y,,
"",Eaton Vance Tax Managed Fund,Unknown,,1001,15000,0,Y,,
D000000477,Duke Energy,Electric Utilities,,1001,15000,0,Y,Y,Y
"",Deutsche Bank,Commercial Banks,,1001,15000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",BB&T Bank,Commercial Banks,,1001,15000,0,Y,,
D000000090,Bank of America,Commercial Banks,,1001,15000,0,Y,Y,Y
"",Artio International Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Tower Systems,Telecom Svcs,,1001,15000,0,Y,,
"",Comverse Technology,Unknown,,1,1000,0,Y,,
