orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",RRT LLC,Health Services,,1000001,5000000,0,Y,,
"","208 D Street SE/Washington, DC",Real Estate,,1000001,5000000,0,Y,,
"","150 D Street SE/Washington, DC",Real Estate,,500001,1000000,0,Y,,
"",SHDC LLC,Health Services,,250001,500000,0,Y,,
"",Henderson Dialysis,Unknown,,250001,500000,0,Y,,
"",FSD LLC,Misc Health,,250001,500000,0,Y,,
"",SFH Investors LLC-11012 Meadow Leaf LV N,Unknown,,100001,250000,0,Y,,
"",Quail Park V,Real Estate,,100001,250000,0,Y,,
"",Kidney Specialists of Southern Nevada,Health Professionals,,100001,250000,0,Y,,
"",Emigrant Bank,Savings & Loans,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",DoctorsXL LLC Physician Management Comp,Unknown,,100001,250000,0,Y,,
"",Centennial HD LLC,Unknown,,100001,250000,0,Y,,
D000058997,Bank of Nevada,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000034090,Ally Bank,Commercial Banks,Unknown,100001,250000,0,Y,Y,
"","7032 Azure Beach/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","546 Poplar Leaf/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","489 Melrose Heights/Henderson, NV",Real Estate,,100001,250000,0,Y,,
"","3964 Bella Palermo Way/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","11932 Orense Dr/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","11829 Ampucia/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","11628 Aruba Beach/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"","11234 Revelry Lane/Las Vegas, NV",Real Estate,,100001,250000,0,Y,,
"",Short Term Federal,Unknown,Mutual Fund,112517,112517,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,105825,105825,0,Y,,
"",VAC LLC,Real Estate,,50001,100000,0,Y,,
"",Pahrump-Zim LLC,Unknown,,50001,100000,0,Y,,
"",Pahrump land/assessor's #27-211-03,Real Estate,,50001,100000,0,Y,,
"",Nephroceuticals LLC,Unknown,,50001,100000,0,Y,,
"",Metalast International,Misc Mfg/Distrib,,50001,100000,0,Y,,
"",Centennial-Zim LLC,Unknown,,50001,100000,0,Y,,
"","3466 Legendary/Las Vegas, NV",Real Estate,,50001,100000,0,Y,,
"","2630 East Harris Farm Rd/Pahrump, NV",Real Estate,,50001,100000,0,Y,,
"",2400 Tech Center LLC,Real Estate,,50001,100000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,97782,97782,0,Y,,
"",Dfa Emerging Markets Value,Unknown,Mutual Fund,88930,88930,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,88229,88229,0,Y,Y,
"",Science & Technology Fund,Unknown,Mutual Fund,84011,84011,0,Y,,
D000000206,Occidental Petroleum,Oil & Gas,,81349,81349,0,Y,Y,
"",T Rowe Price Health Science Fund,Misc Health,,80162,80162,0,Y,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,80015,80015,0,Y,,
"",Parkway Bank & Trust/CD,Unknown,Cash/Money Market/Savings/Checking,78293,78293,0,Y,,
"",Countybank/CD,Unknown,Cash/Money Market/Savings/Checking,77996,77996,0,Y,,
"",Mercantile Bank/CD,Unknown,Cash/Money Market/Savings/Checking,77660,77660,0,Y,,
D000043117,BASF SE,Chemicals,,71415,71415,0,Y,Y,
D000000459,Anadarko Petroleum,Oil & Gas,,68349,68349,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,29902,64901,0,Y,Y,
D000042425,Siemens AG,Misc Energy,,61897,61897,0,Y,Y,
D000042474,Roche Holdings,Pharm/Health Prod,,61190,61190,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,60960,60960,0,Y,Y,Y
D000067115,Petroleo Brasileiro SA,Oil & Gas,,59600,59600,0,Y,,
D000067701,Banco Santander,Commercial Banks,,58986,58986,0,Y,,
"",Freeport-McMoRan Copper & Gold,Mining,,58932,58932,0,Y,,
D000037414,Schlumberger Ltd,Oil & Gas,,58581,58581,0,Y,,
D000030608,Unilever,Misc Mfg/Distrib,,58194,58194,0,Y,Y,
"",Pimco Global Bond,Unknown,Mutual Fund,58138,58138,0,Y,,
D000067273,BHP Billiton,Mining,,57435,57435,0,Y,,
D000042332,Nestle Sa,Food & Beverage,,54393,54393,0,Y,Y,
D000000134,Credit Suisse Group,Securities/Invest,,54076,54076,0,Y,Y,Y
D000000422,Oracle Corp,Electronics Mfg/Eqp,,53966,53966,0,Y,Y,
"",Peds HD LLC,Unknown,,15001,50000,0,Y,,
"",Meadows-Zim LLC,Unknown,,15001,50000,0,Y,,
D000021914,City National Bank,Commercial Banks,,15001,50000,0,Y,,
"","1241 Pascoe/Pahrump, NV",Real Estate,,15001,50000,0,Y,,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,48934,48934,0,Y,Y,
D000000209,United Technologies,Defense Aerospace,,48587,48587,0,Y,Y,Y
D000064283,Total SA,Oil & Gas,,48030,48030,0,Y,Y,
"",Goldman Sachs Strategic Growth Fund,Unknown,Mutual Fund,46961,46961,0,Y,,
D000028426,PPG Industries,Chemicals,,45368,45368,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,45087,45087,0,Y,Y,
"",Lasalle National Bank S&P 500 Index,Unknown,Government Bond,44850,44850,0,Y,,
D000000352,Caterpillar Inc,Building Materials,,44167,44167,0,Y,Y,
"",DaVita Inc,Health Services,,44055,44055,0,Y,,
"",William Blair International Growth Fund,Unknown,Mutual Fund,43990,43990,0,Y,,
"",E.ON AG,Electric Utilities,,43837,43837,0,Y,,
D000060238,Bank of Nova Scotia,Commercial Banks,Unknown,43701,43701,0,Y,,
"",Honda Motor,Automotive,,42375,42375,0,Y,,
"",Vale SA,Mining,,40642,40642,0,Y,,
"",Abb Ltd,Misc Energy,,40110,40110,0,Y,,
"",Fortune Brands,Securities/Invest,,39960,39960,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,39780,39780,0,Y,Y,
D000000118,Union Pacific Corp,Railroads,,39618,39618,0,Y,Y,Y
D000021655,Macy's Inc,Retail Sales,,38548,38548,0,Y,,
"",EMC Corp,Electronics Mfg/Eqp,,38434,38434,0,Y,,
D000032702,Coach Inc,Misc Mfg/Distrib,,38356,38356,0,Y,,
"",iShares Barclays 1-3 Yr Treasury Bond Fd,Unknown,Mutual Fund,37332,37332,0,Y,,
D000025483,Devon Energy,Oil & Gas,,36750,36750,0,Y,Y,
D000059154,Dover Corp,Misc Mfg/Distrib,,36408,36408,0,Y,,
D000028057,Nucor Corp,Steel Production,,34987,34987,0,Y,Y,
"",Baidu Inc,Internet,,34543,34543,0,Y,,
"",Paccair Inc,Unknown,,33549,33549,0,Y,,
D000024099,Applied Materials Inc,Electronics Mfg/Eqp,,33456,33456,0,Y,Y,
D000000367,Wal-Mart Stores,Retail Sales,,33406,33406,0,Y,Y,
"",Rio Tinto Plc,Mining,,32308,32308,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,31972,31972,0,Y,Y,
D000000619,Target Corp,Retail Sales,,31440,31440,0,Y,Y,
D000000832,Carnival Corp,Sea Transport,,30897,30897,0,Y,Y,Y
