orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000059661,United Bank & Trust,Commercial Banks,Cash/Money Market/Savings/Checking,250001,500000,0,T,,
"",Bank of America account,Commercial Banks,"Brokerage, IRA, 401k",250001,500000,0,T,,
"","16 lots/Bizbee, AZ",Real Estate,,100001,250000,0,T,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,152126,152126,0,T,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,146298,146298,0,T,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,129015,129015,0,T,,
"",Income Fund of America Fund,Unknown,Mutual Fund,83513,83513,0,T,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,82583,82583,0,T,,
"",Goldman Sachs Growth & Income Strategy,Unknown,Mutual Fund,76164,76164,0,T,,
"",American Balanced Fund,Unknown,Mutual Fund,73110,73110,0,T,,
"",Bond Fund of America,Unknown,Mutual Fund,56003,56003,0,T,,
"",University Apartments Development Co,Real Estate,,15001,50000,0,T,,
"",Minnesota Mutual Insurance,Insurance,,15001,50000,0,T,,
"",Hypovision Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Federal Thrift Savings Plan/G Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Capital City Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Edward Jones Money Market,Unknown,Cash/Money Market/Savings/Checking,46571,46571,0,T,,
"",Growth Fund of America,Unknown,Mutual Fund,45759,45759,0,T,,
"",Goldman Sachs Mid Cap Value Fund,Unknown,Mutual Fund,31517,31517,0,T,,
"",First Solar Inc,Misc Energy,,31173,31173,0,T,,
"","Sedgwick & Shawnee, KS Single Fam Mort",Unknown,Government Bond,27412,27412,0,T,,
D000000182,Ford Motor Co,Automotive,,24623,24623,0,T,Y,Y
"",New Perspective Fund,Unknown,Mutual Fund,23437,23437,0,T,,
"",Goldman Sachs Growth & Income Fund,Unknown,Mutual Fund,22305,22305,0,T,,
"",Labette Cnty Single Family Mortgage Rev,Unknown,Government Bond,20695,20695,0,T,,
"",Honda Motor Ltd,Automotive,,18928,18928,0,T,,
"",Capital World Bond Fund,Unknown,Mutual Fund,17348,17348,0,T,,
"",Cancer Policy (Cash Value),Unknown,Insurance policies & Annuities,1001,15000,0,T,,
"",Bank of the Prairie,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
D000021700,Ameriprise Financial,Securities/Invest,,1001,15000,0,T,Y,
"",AG Edwards/UBS Financial Services,Unknown,,1001,15000,0,T,,
D000029389,Teva Pharmaceutical Industries,Pharm/Health Prod,,13688,13688,0,T,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,12776,12776,0,T,Y,
"","Neosho County, KS Erie School Bldg Bond",Unknown,Government Bond,11561,11561,0,T,,
"",Texas Dept Hsg/Cmnty Affairs Res Mort Bd,Unknown,Government Bond,11317,11317,0,T,,
D000022330,Yahoo! Inc,Internet,,11297,11297,0,T,Y,
D000029955,YUM! Brands,Food & Beverage,,11028,11028,0,T,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,9940,9940,0,T,Y,
"",Cummins Engine Inc,Unknown,,9928,9928,0,T,,
"",Nokia Corp,Telecom Svcs,,8611,8611,0,T,,
"",Goldman Sachs Bric Fund,Unknown,Mutual Fund,8540,8540,0,T,,
"",FPL Group,Electric Utilities,,7764,7764,0,T,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,6501,6501,0,T,Y,
"",GMAC SmartNotes,Unknown,,5956,5956,0,T,,
D000000352,Caterpillar Inc,Building Materials,,5508,5508,0,T,Y,
D000019828,Emerson Electric,Misc Mfg/Distrib,,4988,4988,0,T,Y,
D000000123,American International Group,Insurance,,4986,4986,0,T,Y,
D000000408,Deere & Co,Agricultural Svcs,,4971,4971,0,T,Y,
"",American Mutual Fund,Unknown,Mutual Fund,4708,4708,0,T,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,4247,4247,0,T,Y,
"","Manhattan, KS G/O Bond",Unknown,Government Bond,4220,4220,0,T,,
"",Evergreen Solar,Misc Energy,,4147,4147,0,T,,
D000000165,General Dynamics,Defense Electronics,,3822,3822,0,T,Y,
"",EMC Corp,Electronics Mfg/Eqp,,3369,3369,0,T,,
"",Garmin Ltd,Unknown,,2993,2993,0,T,,
D000000118,Union Pacific Corp,Railroads,,2868,2868,0,T,Y,Y
"",Hoku Scientific Inc,Unknown,,1727,1727,0,T,,
"",Edward Jones Cash,Unknown,Cash/Money Market/Savings/Checking,1330,1330,0,T,,
D000037610,Sirius XM Radio,TV/Movies/Music,,1320,1320,0,T,Y,
"",Capital Federal Bank Account,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,T,,
"",Edward Jones Sep Cash,Unknown,Cash/Money Market/Savings/Checking,25,25,0,T,,
