orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","4113-15 Arbor Vitae/San Diego, CA",Real Estate,,250001,500000,0,Y,,
"",PIMCO Funds Pac Investment Management,Unknown,Mutual Fund,101002,265000,0,Y,,
"",T Rowe Price Equity Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,46004,165000,0,Y,,
"",Vanguard Index Trust 500,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Vanguard Limited Term Tax Exempt Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Selected American Shares Inc,Unknown,,50001,100000,0,Y,,
"",Payden Core Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,50001,100000,0,Y,Y,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",American Advantage Mileage Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Savings Plus Large Cap Bind Fund,Misc Finance,,16002,65000,0,Y,,
"",Janus Investment Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Hartford Stock Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Ariel Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",TD Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,15002,51000,0,Y,,
"",Wells Fargo Small Cap Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wells Fargo Advantage Small Cap Value Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Index Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Fixed Income Securities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Emerging Euro/Mediterranean Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
"",Payden Global Short Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Los Gatos, CA Unified School Dist Bond",Unknown,Government Bond,15001,50000,0,Y,,
D000000419,Home Depot,Retail Sales,,15001,50000,0,Y,Y,
"",Fidelity Emerging Markets Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000703,Costco Wholesale,Retail Sales,,15001,50000,0,Y,,
"",Cal-Amer Inc Prop IV,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus GNMA Fund,Real Estate,Mutual Fund,2002,30000,0,Y,,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,Y,Y,
"",Vanguard Total Bond Market Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Third Avenue Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Strong Advisor Small Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Savings Plus Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pamassus Income Trust Equity Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Julius Baer Investment Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Balance Sheet Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dwight Asset Management Stable Value Fnd,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000123,American International Group,Insurance,,1001,15000,0,Y,Y,
"",TD Ameritrade MM US Govt Portfolio,Unknown,Cash/Money Market/Savings/Checking,2,2000,0,Y,,
D000034869,JM Smucker Co,Food Process/Sales,,1,1000,0,Y,,
