orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",3014-3018 E Ocean View Ave,Real Estate,,500001,1000000,0,T,,
"",9635-9639 15th Bay St,Real Estate,,250001,500000,0,T,,
"",9527-9531 11th Bay St,Real Estate,,250001,500000,0,T,,
"",3004 E Ocean View Ave,Real Estate,,250001,500000,0,T,,
"",WS 7th Bay St,Real Estate,Unknown,100001,250000,0,T,,
"",9549 7th Bay St,Real Estate,,100001,250000,0,T,,
"",8428 Tidewater Dr,Real Estate,,100001,250000,0,T,,
"",414 Fresh Meadow Road,Real Estate,,100001,250000,0,T,,
"",403 Westmont Ave,Real Estate,,100001,250000,0,T,,
"",171 Rodman Rd,Real Estate,,100001,250000,0,T,,
"",ES 4th Bay St,Real Estate,,50001,100000,0,T,,
"",MassMutual MML Managed Bond,Unknown,Mutual Fund,16002,65000,0,T,,
"",Wachovia CAP Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Virginia Retirement System,Insurance,"Brokerage, IRA, 401k",15001,50000,0,T,,
"",Sun Trust Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Hampton Roads Home Team,Unknown,,15001,50000,0,T,,
"",Bank of Hampton Roads,Commercial Banks,,15001,50000,0,T,,
D000000419,Home Depot,Retail Sales,,1002,16000,0,T,Y,
"",Wachovia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
D000000094,Time Warner,TV/Movies/Music,,1001,15000,0,T,Y,
"",Sun Trust/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Sun Trust,Unknown,,1001,15000,0,T,,
"",Putnam Voyager,Unknown,Mutual Fund,1001,15000,0,T,,
D000000398,Progress Energy,Electric Utilities,,1001,15000,0,T,Y,
"",New Economy Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",New Economy,Unknown,Mutual Fund,1001,15000,0,T,,
"",MassMutual MML Equity,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Mass Mutual OPP Global Security,Unknown,,1001,15000,0,T,,
"",Mass Mutual OPP Agressive Growth,Unknown,Mutual Fund,1001,15000,0,T,,
"",Mass Mutual Guarantee Principal Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Hampton Roads Bankshares,Commercial Banks,,1001,15000,0,T,,
"",Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,T,,
"",Fundamental Investors,Unknown,Mutual Fund,1001,15000,0,T,,
"",Euro Pacific Growth,Unknown,Mutual Fund,1001,15000,0,T,,
"",Bank of Hampton Roads/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Bank of Hampton Roads/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Oracle,Unknown,,1,1000,0,T,,
"",Dominion Power,Electric Utilities,,1,1000,0,T,,
