orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Oklahoma Barn & Ranch Blue Chip,Crop Production,,1000001,5000000,0,T,,
"","Day, Edwards et al",Unknown,,265002,550000,0,T,,
"",Jetta Stock Manufacturer Whirlpool Funds,Unknown,Unknown,250001,500000,0,T,,
"","Rental Property/OKC, OK",Real Estate,,100001,250000,0,T,,
"",Oklahoma 529 College Savings Plan,Unknown,"Brokerage, IRA, 401k",50001,100000,0,T,,
"",Clark Capitol Management,Unknown,,50001,100000,0,T,,
"",Union Bank Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Mass Mutual Life Insurance Policy,Unknown,Insurance policies & Annuities,15001,50000,0,T,,
"",T Rowe Price Emerging Markets Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",Columbian Acorn Fund,Unknown,Mutual Fund,1001,15000,0,T,,
D000023126,AXA Equitable Life Insurance,Insurance,Insurance policies & Annuities,1001,15000,0,T,,
"",American Century Vista Fund,Unknown,Mutual Fund,1001,15000,0,T,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,1,1000,0,T,,
