orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Herger Ranch,Livestock,,1000001,5000000,0,Y,,
"",Herger Gas,Oil & Gas,,1000001,5000000,0,Y,,
"",Pacific Life Value Variable Annuity IRA,Unknown,Insurance policies & Annuities,500001,1000000,0,Y,,
"","Rental Office/4th Avenue/Rio Oso, CA",Real Estate,,250001,500000,0,Y,,
"","Rental House/4th Avenue/Rio Oso, CA",Real Estate,,250001,500000,0,Y,,
"",Calvert Social Investment Fund,Unknown,Mutual Fund,168449,168449,0,Y,,
"",Umpqua Bank/Savings & checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Congressional FCU/Money market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Pacific Life One Select Variable Annuity,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",Pacific Life One Select Var Annuity IRA,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
