orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Riversource Tax Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Franklin Mutual Discovery Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",SAFECO,Unknown,,15001,50000,0,Y,,
"",John Hancock Tax Advantaged Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",IDACORP,Unknown,,15001,50000,0,Y,,
"",Franklin Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Dividend Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Income Fund of America,Unknown,,15001,50000,0,Y,,
"",WP Carey CPA 16,Accountants,,1001,15000,0,Y,,
"",Selected American S Selected Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Portland Teacher's Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000459,Kerr McGee Oil & Gas,Oil & Gas,,1001,15000,0,Y,Y,
"",Insured Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Gab Westwood Balance AAA Gabelli Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First Eagle Global Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000461,Comcast Corp,Telecom Svcs,,1001,15000,0,Y,Y,Y
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,Y,Y,Y
"",Ariel Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century Equity Income Adv,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wright Patman Congressional FCU,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
