orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","5 Island Drive/Savannah, GA",Real Estate,,100001,250000,0,Y,,
"","111 Jacquelyn Drive/Savannah, GA",Real Estate,,100001,250000,0,Y,,
"","105 18th Street/Tybee Island, GA",Real Estate,,100001,250000,0,Y,,
"",Cash & Money Market,Unknown,Cash/Money Market/Savings/Checking,236769,236769,0,A,,
"",Wachovia Investment Account/Stocks,Unknown,"Brokerage, IRA, 401k",151698,151698,0,A,,
"",Nuveen GA Muni Bond Fund,Unknown,Government Bond,83963,83963,0,A,,
"",Fixed Income Securities,Securities/Invest,Mutual Fund,69233,69233,0,A,,
"",Wachovia Rollover IRA/Stocks & Options,Unknown,"Brokerage, IRA, 401k",66165,66165,0,A,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,59879,59879,0,A,,
"",Wachovia Preferred Fund,Unknown,Mutual Fund,55880,55880,0,A,,
D000000239,Edison International,Electric Utilities,,54076,54076,0,A,Y,
"",Open End Mutual Funds,Unknown,Mutual Fund,51676,51676,0,A,,
"",Eaton Vance Tax Adv Global Dividend Fund,Unknown,Mutual Fund,51400,51400,0,A,,
"","Ferguson Avenue/Savannah, GA",Real Estate,,15001,50000,0,Y,,
"",Franklin Custodian Utility Fund,Unknown,Mutual Fund,48646,48646,0,A,,
D000000091,BP,Oil & Gas,,45082,45082,0,A,Y,
"",Mutual Funds,Unknown,Mutual Fund,40000,40000,0,A,,
"",Macquarie Global Infrastructure Tot Ret,Unknown,Mutual Fund,39380,39380,0,A,,
"",NASDAQ 100 Index,Unknown,Mutual Fund,38666,38666,0,A,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,36522,36522,0,A,Y,
D000000094,Time Warner,TV/Movies/Music,,35752,35752,0,A,Y,
D000045059,NSTAR,Electric Utilities,,34727,34727,0,A,Y,
D000000125,General Electric,Misc Mfg/Distrib,,33298,33298,0,A,Y,Y
"",Merrill Lynch Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,31455,31455,0,A,,
D000021573,Wachovia Corp,Commercial Banks,,26430,26430,0,A,Y,
D000032911,Cousins Properties,Real Estate,,25750,25750,0,A,,
D000000419,Home Depot,Retail Sales,,25138,25138,0,A,Y,Y
"",US Treasury Strips,Unknown,Government Bond,23377,23377,0,A,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,22938,22938,0,A,Y,
"",Eaton Vance Tax Adv Dividend Income Fund,Unknown,Mutual Fund,22580,22580,0,A,,
"",Merrill Lynch Ready Assets Trust,Unknown,Mutual Fund,21921,21921,0,A,,
"",ING Global Equity Dividend & Premium Opp,Unknown,Mutual Fund,21400,21400,0,A,,
D000000163,Freddie Mac,Real Estate,,20912,20912,0,A,Y,
"",NFJ Dividend Interest & Premium Strategy,Unknown,Mutual Fund,20850,20850,0,A,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,18751,18751,0,A,Y,
"",Nokia Corp,Telecom Svcs,,18300,18300,0,A,,
"",Nuveen Equity Premium Advantage Fund,Unknown,Mutual Fund,17560,17560,0,A,,
"",Nuveen Equity Premium Opportunity Fund,Unknown,Mutual Fund,17390,17390,0,A,,
D000033463,Enterprise Products Partners,Oil & Gas,,16063,16063,0,A,,
"",Clayton Cnty/Clayton Rev GA Wtr Auth Wtr,Unknown,Government Bond,15736,15736,0,A,,
D000000130,El Paso Corp,Oil & Gas,,15492,15492,0,A,Y,Y
D000000100,Boeing Co,Defense Aerospace,,14750,14750,0,A,Y,Y
D000000367,Wal-Mart Stores,Retail Sales,,14274,14274,0,A,Y,Y
"",BlackRock Global Energy & Resource Trust,Misc Energy,,12800,12800,0,A,,
"",Sears Holdings,Retail Sales,,11553,11553,0,A,,
"",Preferreds/Fixed Rate Cap Securities,Unknown,Mutual Fund,11176,11176,0,A,,
"",Walgreen Co,Retail Sales,,11065,11065,0,A,,
"","Hartwell, GA Combined Utilities Rev Bond",Unknown,Government Bond,10200,10200,0,A,,
"",US Treasury Note,Unknown,Government Bond,9538,9538,0,A,,
D000000079,Verizon Communications,Telephone Utilities,,9277,9277,0,A,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,8045,8045,0,A,Y,Y
"",Motorola Inc,Telecom Svcs,,6777,6777,0,A,,
"",Global Signal,Unknown,,6474,6474,0,A,,
D000022008,Google Inc,Internet,,6223,6223,0,A,Y,
D000000348,UnitedHealth Group,Health Services,,6214,6214,0,A,Y,Y
D000065473,Coca-Cola Enterprises,Food & Beverage,,5924,5924,0,A,Y,Y
"",Money Balances,Unknown,Cash/Money Market/Savings/Checking,5789,5789,0,A,,
"",Municipal Electric Auth Ga Bond,Unknown,Government Bond,5148,5148,0,A,,
"",Nuveen Preferred & Convertible Incm Fund,Unknown,Mutual Fund,4788,4788,0,A,,
"",Alberto Culver Co,Unknown,,4575,4575,0,A,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,3969,3969,0,A,Y,
"",Sara Lee Corp,Food Process/Sales,,3780,3780,0,A,,
D000000691,Goodyear Tire & Rubber,Chemicals,,3685,3685,0,A,Y,
"",Ace Ltd,Insurance,,2672,2672,0,A,,
D000029185,Staples Inc,Retail Sales,,2271,2271,0,A,Y,
"",Diamonds Trust Series 1,Unknown,"Brokerage, IRA, 401k",1800,1800,0,A,,
D000000163,Freddie Mac Bond,Real Estate,,252,252,0,A,Y,
