orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Green Circle Investments,Commercial Banks,,1000001,5000000,0,Y,,
"",Modderman Farm 1107,Crop Production,,500001,1000000,0,Y,,
"",Latimer Farm/93.7 Acres,Crop Production,,250001,500000,0,Y,,
"","Blom Farm 76.5 Acres/Alexander, IA",Crop Production,,250001,500000,0,Y,,
"",People's Trust & Savings Bank,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000032589,Citizens First Bank,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Smith Barney IRA,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Pension Plan American Funds 401k,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Latham Farms LLC,Crop Production,,15001,50000,0,Y,,
"",Farm Buildings,Crop Production,,15001,50000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,24158,24158,0,Y,,
"",Smith Barney Municipal Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",New Perspective Fund,Unknown,Mutual Fund,7005,7005,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,2056,2056,0,Y,,
"",Small Cap World Fund,Unknown,Mutual Fund,1306,1306,0,Y,,
"",Europacific Growth Fund,Unknown,Mutual Fund,1245,1245,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Alexander Holding Co,Unknown,,1,1000,0,Y,,
"",New World Fund,Unknown,Mutual Fund,519,519,0,Y,,
"",American Funds Money Market,Unknown,Cash/Money Market/Savings/Checking,126,126,0,Y,,
