orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",FRL Bogen Trust Stanley Bogen Blind Tr,Unknown,"Brokerage, IRA, 401k",5000001,25000000,0,A,,
"",FRL Miller Trust David Miller Blind Tr,Unknown,"Brokerage, IRA, 401k",1000001,5000000,0,A,,
"",FRL 1990 CRUT Stanley Bogen Blind Trust,Unknown,"Brokerage, IRA, 401k",1000001,5000000,0,A,,
D000031719,Automatic Data Processing Inc,Business Services,,1000001,5000000,0,A,,Y
"",Trusts F/B/O B Englebardt Assoc,Unknown,,3000003,3000003,1,A,,
D000000552,Paloma Partners,Securities/Invest,,1000001,1000001,1,A,,
"",Mira Loma Assoc,Real Estate,,1000001,1000001,1,A,,
"",LCBS Corp/School Building,Education,,1000001,1000001,1,A,,
"",LCBS Corp/Commercial Office Building,Unknown,,1000001,1000001,1,A,,
"",Enterprise Laredo Assoc,Real Estate,,1000001,1000001,1,A,,
"",Enterprise Denton Assoc,Unknown,,1000001,1000001,1,A,,
"",Enterprise Angelene LLC,Unknown,,1000001,1000001,1,A,,
"",Eagle Pass Assoc,Real Estate,,1000001,1000001,1,A,,
"",Abrams Capital Partners,Unknown,,1000001,1000001,1,A,,
"",Total Energy Leasing/Note Receivable,Electric Utilities,Note/Note Receivable,500001,1000000,0,A,,
"",Sandler Assoc,Securities/Invest,,500001,1000000,0,A,,
"",Prisma Select Fund II,Securities/Invest,Mutual Fund,500001,1000000,0,A,,
"",Manor Vail Condo Assoc,Real Estate,,500001,1000000,0,A,,
"",Kuroto Fund LP,Securities/Invest,,500001,1000000,0,A,,
"",Enterprise Manor Assoc,Real Estate,,500001,1000000,0,A,,
"",Enterprise Kennedy House,Real Estate,,500001,1000000,0,A,,
"",Apollo Real Estate Investment Fund IV,Real Estate,,500001,1000000,0,A,,
D000021792,HSBC Bank,Commercial Banks,Cash/Money Market/Savings/Checking,367005,832000,0,A,,
"",Yorkshire Towers Co,Real Estate,,250001,500000,0,A,,
"",Value Fund LP,Unknown,Mutual Fund,250001,500000,0,A,,
"",US High Yield Bonds,Unknown,Government Bond,250001,500000,0,A,,
"",Sterling American Prop III LP,Securities/Invest,,250001,500000,0,A,,
"",Special Value Bond Fund II LLC,Unknown,Mutual Fund,250001,500000,0,A,,
"",Special Value Bond Fund,Unknown,Mutual Fund,250001,500000,0,A,,
"",Sire Global Partners,Real Estate,,250001,500000,0,A,,
"",Pond Equities Investment,Unknown,Mutual Fund,250001,500000,0,A,,
D000000596,Genentech Inc,Pharm/Health Prod,,250001,500000,0,A,,
"",Drawbridge Special Opportunity Fund,Securities/Invest,Mutual Fund,250001,500000,0,A,,
"",CRM Partners,Unknown,,250001,500000,0,A,,
"",Chester Apartments,Real Estate,,250001,500000,0,A,,
"",Chase Private Equity Partners Select,Securities/Invest,,250001,500000,0,A,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,101002,265000,0,A,,
"",ZS Crossover II LP,Securities/Invest,,100001,250000,0,A,,
"",WP Fidelco LLC,Real Estate,,100001,250000,0,A,,
D000030320,Telesoft Partners,Unknown,,100001,250000,0,A,,
"",Telesoft Coinvestments,Securities/Invest,,100001,250000,0,A,,
"",Special Value Opportunities Fund,Unknown,Mutual Fund,100001,250000,0,A,,
"",Sigma Enterprises,Real Estate,,100001,250000,0,A,,
"",RCG Longview,Real Estate,,100001,250000,0,A,,
"",Odyssey Partners,Securities/Invest,,100001,250000,0,A,,
"",Net2Phone Inc,Telecom Svcs,,100001,250000,0,A,,
"",Manhattan Embassy Co,Real Estate,,100001,250000,0,A,,
"",Founders Ensure LLC,Securities/Invest,,100001,250000,0,A,,
"",Enterprise South Shields,Real Estate,,100001,250000,0,A,,
"",Enterprise Peru,Real Estate,,100001,250000,0,A,,
"",Enterprise Alternative Two LLC,Unknown,,100001,250000,0,A,,
"",CMS Co,Securities/Invest,,100001,250000,0,A,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,100001,250000,0,A,Y,
"",Cheshire Partners,Real Estate,,100001,250000,0,A,,
"",BNY Partners Fund,Securities/Invest,,100001,250000,0,A,,
"",ZS Fund LP,Securities/Invest,,50001,100000,0,A,,
"",ZS Fund Cayman,Securities/Invest,,50001,100000,0,A,,
"",ZS AUL LP,Securities/Invest,,50001,100000,0,A,,
"",Mack Cali Realty,Real Estate,,50001,100000,0,A,,
"",Founders III LLC,Unknown,,50001,100000,0,A,,
"",Emax Securities,Real Estate,,50001,100000,0,A,,
"","Commercial Real Estate/Rahway, NJ",Real Estate,,50001,100000,0,A,,
"","Commercial Real Estate/Philadelphia, PA",Real Estate,,50001,100000,0,A,,
"",Boldwater Credit Opportunities Fund/Cash,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",Alt One Eurocastle Investment,Unknown,,50001,100000,0,A,,
"",ZS Service Champ,Securities/Invest,,15001,50000,0,A,,
"",Watson Pharmaceuticals,Pharm/Health Prod,,15001,50000,0,A,,
D000021573,Wachovia Corp,Commercial Banks,,15001,50000,0,A,Y,
D000022964,US Trust Corp,Securities/Invest,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Private Client Resources LLC,Securities/Invest,,15001,50000,0,A,,
"",Infineon Tech,Unknown,,15001,50000,0,A,,
"",First Union Real Estate,Real Estate,,15001,50000,0,A,,
"",Dell Inc,Electronics Mfg/Eqp,,15001,50000,0,A,,
"","Commercial Real Estate/Ocean Twnp, NJ",Real Estate,,15001,50000,0,A,,
"","Commercial Real Estate/Madison, WI",Real Estate,,15001,50000,0,A,,
"","Commercial Real Estate/Lexington, KY",Real Estate,,15001,50000,0,A,,
"","Commercial Real Estate/Chicago, IL",Real Estate,,15001,50000,0,A,,
"","Commercial Real Estate/Atlanta, GA",Real Estate,,15001,50000,0,A,,
"",Apollo Real Estate Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",ZS Crossover LP,Securities/Invest,,2002,30000,0,A,,
D000000749,Worthington Industries,Steel Production,,1001,15000,0,A,,
"",VS Partners LLC,TV/Movies/Music,,1001,15000,0,A,,
"",Vitesse Semiconductor,Electronics Mfg/Eqp,,1001,15000,0,A,,
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",UNUMProvident,Insurance,,1001,15000,0,A,,
"",Universal Compression Holdings,Oil & Gas,,1001,15000,0,A,,
"",Too Inc,Retail Sales,,1001,15000,0,A,,
"",Tetra Technologies,Oil & Gas,,1001,15000,0,A,,
D000028800,Rohm & Haas,Chemicals,,1001,15000,0,A,Y,
D000028570,Rehabcare Group,Health Services,,1001,15000,0,A,Y,
D000000141,Prudential Financial,Insurance,,1001,15000,0,A,Y,
"",Priority Healthcare,Misc Health,,1001,15000,0,A,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,A,Y,
"",Penn Virginia Resource Partners,Mining,,1001,15000,0,A,,
"",Par Pharmaceuticals,Pharm/Health Prod,,1001,15000,0,A,,
"",Pacific Energy Partners,Oil & Gas,,1001,15000,0,A,,
"",North Shore Assoc,Misc Mfg/Distrib,,1001,15000,0,A,,
"",Nautilus Group,Insurance,,1001,15000,0,A,,
D000000106,Morgan Stanley,Securities/Invest,,1001,15000,0,A,Y,
