orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Advantage Primary Liquidity Fund,Unknown,Cash/Money Market/Savings/Checking,265002,550000,0,Y,,
"",Waterford CONN CT XLCA,Unknown,Government Bond,100001,250000,0,Y,,
"",Regional Sch Dist No 010 CONN Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Connecticut HSG Fin Auth HSG Mtg Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",Merrill Lynch Bank Deposit Program/Cash,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",Franklin Templeton Age 17-20 Years,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Franklin Income Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Blackrock Large Cap Value Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Blackrock Age 20+ Years,Unknown,Mutual Fund,16002,65000,0,Y,,
"",US Senate FCU/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Texas Cap Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO RealReturn Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Patriot National Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",JPMorgan Chase Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Franklin US Government Securities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Franklin Rising Dividends Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Franklin Mutual European Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fifth Third Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000044362,Commercial Metals Co,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
"",SEP IRA 5 year CD,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",PIMCO RealReturn Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Metropolitan West Total Return Bond Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Loomis Sayles Bond Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",FPA New Income Income Fund,Unknown,,2002,30000,0,Y,,
"",CGM Advisor Targeted Equity Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Victory Diversified Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Templeton World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Templeton Growth Fund,Unknown,,1001,15000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Retirement Reserves Cash Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Principal High Yield Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Gold & Special Minerals Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Office building/Portland, ME",Real Estate,,1001,15000,0,Y,,
"",Mutual Shares TEMTX,Unknown,Mutual Fund,1001,15000,0,Y,,
