orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Donald Manzullo PC Pension Trust,Unknown,"Brokerage, IRA, 401k",250001,500000,0,Y,,
"","Office Building/Oregon, IL",Real Estate,,100001,250000,0,Y,,
"",Sanford Bernstein Alliance Bernstein Wea,Unknown,Mutual Fund,53004,145000,0,Y,,
"",Stocks/Bonds/Cash,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"","Farm/Egan, IL",Crop Production,,50001,100000,0,Y,,
"",College Illinois prepaid tuition,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",16002,65000,0,Y,,
"",TCW Galileo Select Equity Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",T Rowe Price Mid Cap Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Royce Premier Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Legg Mason Value Trust Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Julius Baer International Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Janus Mid Cap Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",ING International,Unknown,Mutual Fund,15002,51000,0,Y,,
"",FMI Focus,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Cambiar Opportunity Fund,Unknown,Mutual Fund,15002,51000,0,Y,,
"",Wright Patman Congressional FCU/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Merrill Lynch Lg Cap aka Blackrock Funds,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Kinetics Paradigm,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Stillman Valley/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Noel Manzullo,Unknown,Unknown,1001,15000,0,Y,,
"",Neil Manzullo,Unknown,Unknown,1001,15000,0,Y,,
"",Katie Manzullo,Unknown,Unknown,1001,15000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,1,1000,0,Y,,
