orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",DFA US Core Equity Fund,Unknown,Mutual Fund,301003,615000,0,Y,,
"",Natixis Gateway,Unknown,,165003,400000,0,Y,,
"",DFA Short Term Muni Bond,Unknown,Government Bond,115002,300000,0,Y,,
"",Vanguard Short Term Bond,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Rental Property/Orlando, FL",Real Estate,,100001,250000,0,Y,,
"",DFA TA World Ex US,Unknown,Mutual Fund,66003,165000,0,Y,,
"",Vanguard Growth Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Dimensional Advisor US Large,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Dimensional Advisor One Year Fixed Inc,Unknown,Mutual Fund,50001,100000,0,Y,,
"",CNL Bank/CD,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Vanguard International Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Index Trust Small Cap Growth Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dimensional Invt Group,Unknown,,15001,50000,0,Y,,
"",Dimensional Advisor US Small Cap,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Tax Free Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,16000,0,Y,,
"",Schwab Advantage Cash Reserve,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Dimensional Advisor Emerging Mkts Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",DFA International Small Cap Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CNL Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vanguard Short Term Exempt,Unknown,Mutual Fund,0,2000,0,Y,,
"",Vanguard High Yield Tax Exempt Fund,Unknown,Mutual Fund,0,2000,0,Y,,
"",Vanguard Short Term Invmt Grade,Unknown,Mutual Fund,0,1000,0,Y,,
"",Vanguard Fixed High,Unknown,Mutual Fund,0,1000,0,Y,,
D000019173,Van Kampen Investments,Securities/Invest,Mutual Fund,0,1000,0,Y,,
"",Schwab Cash Account,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",Morgan Stanley Active International Fund,Unknown,Mutual Fund,0,1000,0,Y,,
