orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",M&M Partnership,Unknown,,50001,100000,0,Y,,
"","111 Main Street/East Millinocket, ME",Real Estate,,50001,100000,0,Y,,
"","109 Main Street/East Millinocket, ME",Real Estate,,50001,100000,0,Y,,
"",PIMCO RealReturn Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Maine State Retirement,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Fidelity High Income Advantage Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Disc Alloc Port Md,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Columbia Value & Restructuring Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Columbia Marsico 21st Century Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Tem Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource VP Div Eq Inc Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",RiverSource Cash Management Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFS Investors Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Land/6 acres/Medway, ME",Real Estate,,1001,15000,0,Y,,
"",John Hanock High Yield Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",John Hanock Global Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fixed Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",East Mill FCU accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
