orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Thrift Savings Plan,,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"",Personal Residence,Real Estate,,500001,1000000,0,Y,,
"",Condominium - Washington DC,,,250001,500000,0,Y,,
"",Collin C & Jason R Peterson - Peterson Farms,,,100001,250000,0,Y,,
"",Wright Patnam Congressional FCU,Credit Unions,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Washington Mutual Investors Fund,,Mutual Fund,1001,15000,0,Y,,
"",USAA Account,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Integrity Fund Williston Basin/Mid North Amer,,Mutual Fund,1001,15000,0,Y,,
"",Income Fund of America,,Mutual Fund,1001,15000,0,Y,,
"",Hartford Equity Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",Hartford Dividend & Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Franklin Flex Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",First Eagle Global Fund,,Mutual Fund,1001,15000,0,Y,,
"",Bremer Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Growth Fund of America,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Global Balanced Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Capital World Growth & Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Capital Income Builder Fund,,Mutual Fund,1001,15000,0,Y,,
"",AmCap Fund,,Mutual Fund,1001,15000,0,Y,,
"",Lakewest Properties,Unknown,,1,1000,0,Y,,
