orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,300002,600000,0,Y,,
"",Capital One Checking,,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",PIMCO Total Return Fund,,Mutual Fund,100001,250000,0,Y,,
"",Pimco Income Fund,,Mutual Fund,100001,250000,0,Y,,
D000032506,Chase Group,Business Services,,100001,250000,0,Y,,
"",Vanguard Short Term Bond Fund,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard High Dvd Yield,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Dividend,,Mutual Fund,50001,100000,0,Y,,
"",Triborough Bridge & Tunnel Auth Bond,,Government Bond,50001,100000,0,Y,,
D000000200,Pepsico Inc,Food & Beverage,,15001,50000,0,Y,Y,
"",New York State Power Auth Bonds,,Government Bond,15001,50000,0,Y,,
"",New York State Dorm Auth Bonds,,Government Bond,15001,50000,0,Y,,
"",New York NY Subser Fund,,Mutual Fund,15001,50000,0,Y,,
"",Merrill Lynch/Cash & Money Market,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Eaton Vance TX-AD Global Div Inc Fund,,Mutual Fund,15001,50000,0,Y,,
D000029955,YUM! Brands,Food & Beverage,,1001,15000,0,Y,Y,
D000059535,Qwest Corp,,,1001,15000,0,Y,,
D000035100,Kimco Realty,Unknown,,1001,15000,0,Y,,
"",Empty Lots,,,1001,15000,0,Y,,
