orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",529 Short Term Bond Fund of America,Unknown,Mutual Fund,100001,250000,0,Y,,
"",American Funds Capitol World Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard International Equity Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Sentinal Short Maturity Government Class,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares S&P Small Cap 600 index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares S&P 500 Value Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares S&P 500 Growth ETF,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares iBoxx Investor Grade Corp Bd Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Core S&P ETF Midcap,Unknown,Mutual Fund,15001,50000,0,Y,,
"",529 Small Cap World Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MONY Flex Premium Adjustable Life policy,Unknown,Insurance policies & Annuities,2002,30000,0,Y,,
"",WisdomTree Trust Emerging Market Equity,Unknown,Mutual Fund,1001,15000,0,Y,,
"",WisdomTree Japan Small Cap Dividend Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wisdomtree Emerging Mkt Local Debt Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wheaton Bank & Trust Accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Wasatch Emerging Market Small Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard FTSE Emerging Markets ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard FTSE All World Ex US Small Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Utilities Select Sector SPDR Fund,Misc Energy,,1001,15000,0,Y,,
"",Tocqueville Gold Fund,Mining,,1001,15000,0,Y,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Technology Select Sector SPDR Fund,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",SPDR S&P Pharmaceutical ETF,Pharm/Health Prod,,1001,15000,0,Y,,
"",SPDR S&P Global Natural Resources,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SPDR Dow Jones REIT ETF,Real Estate,,1001,15000,0,Y,,
"",SPDR Dow Jones International REIT,Real Estate,,1001,15000,0,Y,,
"",SPDR DB Intl Govt Inflation Protected Bd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab Deposit Accounts/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Principal Global Diversified Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares Senior Loan Portfolio,Unknown,Mutual Fund,1001,15000,0,Y,,
"",John Hancock Strategic Income Opportunit,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares S&P MidCap 400 Value Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Russell 2000 Value Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares MSCI Germany Free Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares iBoxx High Yield Corp Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Dow Jones US Telecom ETF,Telecom Svcs,Mutual Fund,1001,15000,0,Y,,
"",iShares Barclays TIPS Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Guggenheim ETF Timber (CUT),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Flexshares ETF Iboxx 3 yr Target,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First TR Bick Index ETF Emerging Mkt Eq,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Energy Select Sector SPDR Fund,Misc Energy,,1001,15000,0,Y,,
"",Community Bank of Wheaton/Glen Ellyn A/C,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Central Fund of Canada Ltd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Biotech Select Sector SPDR ETF,Pharm/Health Prod,,1001,15000,0,Y,,
"",American Funds New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",529 Euro Pacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
