orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Ross Pharmacy,Retail Sales,,500001,1000000,0,Y,,
"","Commercial Building/Prascott, AR",Real Estate,,101002,265000,0,Y,,
"",Fidelity Growth & Income Fund,Unknown,Mutual Fund,101003,215000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity McKisson Stock,Unknown,,2002,30000,0,Y,,
"",Fidelity Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Puritan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Growth Company Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Diversified International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Commercial Lot/Prescott, AR",Real Estate,,1001,15000,0,Y,,
"",Bank of Prescott,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
