orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Strong Funds Edvest 529 College Savings,Unknown,"Brokerage, IRA, 401k",150002,350000,0,Y,,
D000000419,Home Depot,Retail Sales,,100001,250000,0,Y,Y,Y
"",Fidelity Contrafund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Red River Pine Ltd,Forest Products,,16002,65000,0,Y,,
D000000485,Procter & Gamble,Chemicals,,16002,65000,0,Y,Y,Y
"",Janus Worldwide Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,15001,50000,0,Y,Y,Y
"",TXU Corp,Electric Utilities,,15001,50000,0,Y,,
"",T Rowe Price New Horizons Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Equity Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PBHG Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000022112,Mellon Financial,Commercial Banks,,15001,50000,0,Y,,
"",LOCL/Courage Special Situation Fund,Oil & Gas,Mutual Fund,15001,50000,0,Y,,
"",Johnson Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",H&R Block Financial Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000000205,Fannie Mae,Real Estate,,15001,50000,0,Y,Y,Y
D000000643,Baxter International,Pharm/Health Prod,,15001,50000,0,Y,Y,Y
D000000090,Bank of America,Commercial Banks,,15001,50000,0,Y,Y,Y
"",Ava O Ltd,Misc Energy,,15001,50000,0,Y,,
D000000123,American International Group,Insurance,,15001,50000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,3003,45000,0,Y,Y,Y
D000058827,Zimmer Holdings,Pharm/Health Prod,,2002,30000,0,Y,,
D000000284,Wyeth,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,Y,Y,Y
D000029636,Varian Medical Systems,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Vanguard GNMA Fund,Real Estate,,1001,15000,0,Y,,
"",US Treasury I Bond,Unknown,Government Bond,1001,15000,0,Y,,
D000000751,Tenet Healthcare,Hospitals/Nurs Homes,,1001,15000,0,Y,Y,
D000030251,Sysco Corp,Food Process/Sales,,1001,15000,0,Y,Y,
D000000168,Southern Co,Electric Utilities,,1001,15000,0,Y,Y,
"",Sector SPDR Energy Select Fund,Misc Energy,,1001,15000,0,Y,,
"",Schwab One Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Schwab Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000037414,Schlumberger Ltd,Oil & Gas,,1001,15000,0,Y,Y,
D000023869,Republic Services,Waste Management,,1001,15000,0,Y,Y,
"","Real Estate/Ada, OK",Real Estate,,1001,15000,0,Y,,
D000028430,Praxair Inc,Chemicals,,1001,15000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000000200,PepsiCo Inc,Food & Beverage,,1001,15000,0,Y,Y,Y
"",Oklahoma Municipal Power Authority Power,Unknown,Government Bond,1001,15000,0,Y,,
"",Oakmark Global Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Note Receivable From JB Coleman,Unknown,Note/Note Receivable,1001,15000,0,Y,,
"",McGraw-Hill Companies,Publishing,,1001,15000,0,Y,,
D000000114,MBNA Corp,Finance/Credit,,1001,15000,0,Y,Y,Y
D000027417,Marshall & Ilsley Corp,Commercial Banks,,1001,15000,0,Y,,Y
D000027185,Legg Mason,Securities/Invest,,1001,15000,0,Y,,
"",Landmark Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Landmark Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,1001,15000,0,Y,Y,Y
"",Johnson Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000026667,Intuit Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,Y
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Hartford Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Global Technology Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Global Leaders Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Global Health Fund,Misc Health,,1001,15000,0,Y,,
"",Hartford Disciplined Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Grand River Dam Authority Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",First American Small Cap Select Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First American Small Cap Index Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First American Prime Obligation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First American Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First American Intermediate Term Bond Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000089,FedEx Corp,Air Transport,,1001,15000,0,Y,Y,Y
D000000468,Estee Lauder Companies,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000025642,Edwards Lifesciences,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Edward Jones Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000050293,Duke Realty,Real Estate,,1001,15000,0,Y,,
"",Dell Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000025170,CR Bard Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Bemis Inc,Unknown,,1001,15000,0,Y,,
"",BBH Inflation Indexed Securities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of New York,Commercial Banks,,1001,15000,0,Y,,
D000024095,Apache Corp,Oil & Gas,,1001,15000,0,Y,,
D000000067,Altria Group,Tobacco,,1001,15000,0,Y,Y,Y
"",AllianceBernstein Capital Reserves MM,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000786,Accenture,Business Services,,1001,15000,0,Y,Y,Y
D000021800,3M Co,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
