orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Shuler Properties,Real Estate,,1000001,5000000,0,A,,
"",Highlands Property Group,Real Estate,,1000001,5000000,0,A,,
"",Cash Balance,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",United Community Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",NFL Player Second Career Value Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",NFL Player Second Career Small Core Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",NFL Player Second Career Growth Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",NFL Player Annuity & Insurance,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",FA 529 Port 2019,Unknown,Mutual Fund,15001,50000,0,A,,
D000033463,Enterprise Products Partners,Oil & Gas,,15001,50000,0,A,Y,
"",Wells Fargo Minor Roth IRA Cash Balance,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,A,,
"",Tyco International,Business Services,,1001,15000,0,A,,
"",Tyco Electronics,Electronics Mfg/Eqp,,1001,15000,0,A,,
"",NFL Player Second Career Small Val Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",NFL Player Second Career Intl Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Mountain Commerce Bank,Unknown,,1001,15000,0,A,,
"",Merge Healthcare Inc,Misc Health,,1001,15000,0,A,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,A,Y,Y
"",FA 529 Port 2022,Unknown,Mutual Fund,1001,15000,0,A,,
"",Covidien PLC,Pharm/Health Prod,,1001,15000,0,A,,
"",Cel-Sci Com,Unknown,,1001,15000,0,A,,
"",Appolo Investment,Unknown,,1001,15000,0,A,,
D000031469,American Capital,Securities/Invest,,1001,15000,0,A,,
"",Advantage Oil & Gas,Oil & Gas,,1001,15000,0,A,,
"",Wells Fargo Advisors Cash Balance,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,A,,
"",NFL Player Second Career Savings Bond Fd,Unknown,Mutual Fund,1,1000,0,A,,
